region_id,name,country
R00126,Stavanger,NO
R00127,Bergen,NO
R00128,Copenhagen,DK
R00129,Stavanger,NO
R00130,Hamburg,DE
R00131,Stavanger,NO
R00132,Warsaw,PL
R00133,Warsaw,PL
R00134,Trondheim,NO
R00135,Warsaw,PL
R00136,Hamburg,DE
R00137,Helsinki,FI
R00138,Rogaland,NO
R00139,Copenhagen,DK
R00140,Helsinki,FI
R00141,Stavanger,NO
R00142,Warsaw,PL
R00143,Viken,NO
R00144,Oslo,NO
R00145,Bergen,NO
R00146,Warsaw,PL
R00147,Oslo,NO
R00148,Copenhagen,DK
R00149,Bergen,NO
R00150,Trondheim,NO
R00151,Helsinki,FI
R00152,Stavanger,NO
R00153,Viken,NO
R00154,Oslo,NO
R00155,Warsaw,PL
R00156,Warsaw,PL
R00157,Helsinki,FI
R00158,Hamburg,DE
R00159,Viken,NO
R00160,Rogaland,NO
R00161,Oslo,NO
R00162,Bergen,NO
R00163,Stavanger,NO
R00164,Viken,NO
R00165,Trondheim,NO
R00166,Viken,NO
R00167,Warsaw,PL
R00168,Warsaw,PL
R00169,Stavanger,NO
R00170,Helsinki,FI
R00171,Oslo,NO
R00172,Rogaland,NO
R00173,Viken,NO
R00174,Warsaw,PL
R00175,Copenhagen,DK
R00176,Helsinki,FI
R00177,Viken,NO
R00178,Hamburg,DE
R00179,Viken,NO
R00180,Warsaw,PL
R00181,Rogaland,NO
R00182,Helsinki,FI
R00183,Bergen,NO
R00184,Rogaland,NO
R00185,Oslo,NO
R00186,Oslo,NO
R00187,Trondheim,NO
R00188,Trondheim,NO
R00189,Viken,NO
R00190,Oslo,NO
R00191,Oslo,NO
R00192,Rogaland,NO
R00193,Bergen,NO
R00194,Helsinki,FI
R00195,Hamburg,DE
R00196,Warsaw,PL
R00197,Stavanger,NO
R00198,Viken,NO
R00199,Rogaland,NO
R00200,Hamburg,DE
R00201,Trondheim,NO
R00202,Bergen,NO
R00203,Hamburg,DE
R00204,Hamburg,DE
R00205,Stavanger,NO
R00206,Rogaland,NO
R00207,Hamburg,DE
R00208,Rogaland,NO
R00209,Oslo,NO
R00210,Copenhagen,DK
R00211,Helsinki,FI
R00212,Bergen,NO
R00213,Bergen,NO
R00214,Trondheim,NO
R00215,Warsaw,PL
R00216,Rogaland,NO
R00217,Hamburg,DE
R00218,Warsaw,PL
R00219,Trondheim,NO
R00220,Copenhagen,DK
R00221,Warsaw,PL
R00222,Warsaw,PL
R00223,Trondheim,NO
R00224,Trondheim,NO
R00225,Trondheim,NO
R00226,Viken,NO
R00227,Helsinki,FI
R00228,Warsaw,PL
R00229,Warsaw,PL
R00230,Bergen,NO
R00231,Trondheim,NO
R00232,Warsaw,PL
R00233,Viken,NO
R00234,Stavanger,NO
R00235,Viken,NO
R00236,Oslo,NO
R00237,Copenhagen,DK
R00238,Helsinki,FI
R00239,Stavanger,NO
R00240,Stavanger,NO
R00241,Helsinki,FI
R00242,Helsinki,FI
R00243,Helsinki,FI
R00244,Trondheim,NO
R00245,Viken,NO
R00246,Trondheim,NO
R00247,Warsaw,PL
R00248,Helsinki,FI
R00249,Oslo,NO
R00250,Bergen,NO
R00251,Rogaland,NO
R00252,Hamburg,DE
R00253,Helsinki,FI
R00254,Stavanger,NO
R00255,Viken,NO
R00256,Copenhagen,DK
R00257,Trondheim,NO
R00258,Rogaland,NO
R00259,Rogaland,NO
R00260,Copenhagen,DK
R00261,Rogaland,NO
R00262,Bergen,NO
R00263,Copenhagen,DK
R00264,Helsinki,FI
R00265,Warsaw,PL
R00266,Oslo,NO
R00267,Copenhagen,DK
R00268,Trondheim,NO
R00269,Bergen,NO
R00270,Hamburg,DE
R00271,Trondheim,NO
R00272,Stavanger,NO
R00273,Trondheim,NO
R00274,Stavanger,NO
R00275,Copenhagen,DK
R00276,Trondheim,NO
R00277,Copenhagen,DK
R00278,Viken,NO
R00279,Hamburg,DE
R00280,Viken,NO
R00281,Trondheim,NO
R00282,Trondheim,NO
R00283,Hamburg,DE
R00284,Stavanger,NO
R00285,Viken,NO
R00286,Rogaland,NO
R00287,Helsinki,FI
R00288,Helsinki,FI
R00289,Viken,NO
R00290,Viken,NO
R00291,Copenhagen,DK
R00292,Helsinki,FI
R00293,Warsaw,PL
R00294,Rogaland,NO
R00295,Viken,NO
R00296,Stavanger,NO
R00297,Bergen,NO
R00298,Helsinki,FI
R00299,Viken,NO
R00300,Viken,NO
R00301,Warsaw,PL
R00302,Stavanger,NO
R00303,Warsaw,PL
R00304,Hamburg,DE
R00305,Hamburg,DE
R00306,Hamburg,DE
R00307,Oslo,NO
R00308,Viken,NO
R00309,Oslo,NO
R00310,Helsinki,FI
R00311,Hamburg,DE
R00312,Oslo,NO
R00313,Trondheim,NO
R00314,Stavanger,NO
R00315,Copenhagen,DK
R00316,Rogaland,NO
R00317,Trondheim,NO
R00318,Trondheim,NO
R00319,Warsaw,PL
R00320,Bergen,NO
R00321,Stavanger,NO
R00322,Copenhagen,DK
R00323,Viken,NO
R00324,Rogaland,NO
R00325,Viken,NO
R00326,Copenhagen,DK
R00327,Bergen,NO
R00328,Hamburg,DE
R00329,Viken,NO
R00330,Viken,NO
R00331,Stavanger,NO
R00332,Trondheim,NO
R00333,Helsinki,FI
R00334,Trondheim,NO
R00335,Warsaw,PL
R00336,Trondheim,NO
R00337,Warsaw,PL
R00338,Trondheim,NO
R00339,Trondheim,NO
R00340,Warsaw,PL
R00341,Hamburg,DE
R00342,Trondheim,NO
R00343,Trondheim,NO
R00344,Stavanger,NO
R00345,Rogaland,NO
R00346,Bergen,NO
R00347,Trondheim,NO
R00348,Rogaland,NO
R00349,Helsinki,FI
R00350,Bergen,NO
R00351,Hamburg,DE
R00352,Viken,NO
R00353,Trondheim,NO
R00354,Bergen,NO
R00355,Trondheim,NO
R00356,Helsinki,FI
R00357,Oslo,NO
R00358,Hamburg,DE
R00359,Bergen,NO
R00360,Warsaw,PL
R00361,Oslo,NO
R00362,Helsinki,FI
R00363,Rogaland,NO
R00364,Bergen,NO
R00365,Oslo,NO
R00366,Copenhagen,DK
R00367,Viken,NO
R00368,Hamburg,DE
R00369,Trondheim,NO
R00370,Bergen,NO
R00371,Stavanger,NO
R00372,Stavanger,NO
R00373,Warsaw,PL
R00374,Trondheim,NO
R00375,Bergen,NO
R00376,Rogaland,NO
R00377,Hamburg,DE
R00378,Oslo,NO
R00379,Rogaland,NO
R00380,Oslo,NO
R00381,Copenhagen,DK
R00382,Bergen,NO
R00383,Stavanger,NO
R00384,Rogaland,NO
R00385,Stavanger,NO
R00386,Stavanger,NO
R00387,Copenhagen,DK
R00388,Trondheim,NO
R00389,Warsaw,PL
R00390,Helsinki,FI
R00391,Helsinki,FI
R00392,Hamburg,DE
R00393,Hamburg,DE
R00394,Copenhagen,DK
R00395,Trondheim,NO
R00396,Hamburg,DE
R00397,Oslo,NO
R00398,Helsinki,FI
R00399,Viken,NO
R00400,Oslo,NO
R00401,Warsaw,PL
R00402,Trondheim,NO
R00403,Stavanger,NO
R00404,Trondheim,NO
R00405,Rogaland,NO
R00406,Helsinki,FI
R00407,Bergen,NO
R00408,Oslo,NO
R00409,Warsaw,PL
R00410,Stavanger,NO
R00411,Warsaw,PL
R00412,Trondheim,NO
R00413,Copenhagen,DK
R00414,Bergen,NO
R00415,Warsaw,PL
R00416,Viken,NO
R00417,Warsaw,PL
R00418,Rogaland,NO
R00419,Rogaland,NO
R00420,Rogaland,NO
R00421,Hamburg,DE
R00422,Helsinki,FI
R00423,Hamburg,DE
R00424,Helsinki,FI
R00425,Trondheim,NO
R00426,Rogaland,NO
R00427,Oslo,NO
R00428,Warsaw,PL
R00429,Trondheim,NO
R00430,Warsaw,PL
R00431,Stavanger,NO
R00432,Rogaland,NO
R00433,Copenhagen,DK
R00434,Warsaw,PL
R00435,Rogaland,NO
R00436,Oslo,NO
R00437,Helsinki,FI
R00438,Rogaland,NO
R00439,Copenhagen,DK
R00440,Trondheim,NO
R00441,Trondheim,NO
R00442,Trondheim,NO
R00443,Bergen,NO
R00444,Bergen,NO
R00445,Copenhagen,DK
R00446,Trondheim,NO
R00447,Viken,NO
R00448,Copenhagen,DK
R00449,Stavanger,NO
R00450,Trondheim,NO
R00451,Warsaw,PL
R00452,Hamburg,DE
R00453,Stavanger,NO
R00454,Stavanger,NO
R00455,Bergen,NO
R00456,Oslo,NO
R00457,Bergen,NO
R00458,Helsinki,FI
R00459,Oslo,NO
R00460,Warsaw,PL
R00461,Oslo,NO
R00462,Viken,NO
R00463,Stavanger,NO
R00464,Bergen,NO
R00465,Hamburg,DE
R00466,Helsinki,FI
R00467,Rogaland,NO
R00468,Hamburg,DE
R00469,Copenhagen,DK
R00470,Rogaland,NO
R00471,Trondheim,NO
R00472,Copenhagen,DK
R00473,Oslo,NO
R00474,Trondheim,NO
R00475,Hamburg,DE
R00476,Viken,NO
R00477,Viken,NO
R00478,Warsaw,PL
R00479,Hamburg,DE
R00480,Oslo,NO
R00481,Warsaw,PL
R00482,Hamburg,DE
R00483,Warsaw,PL
R00484,Helsinki,FI
R00485,Rogaland,NO
R00486,Warsaw,PL
R00487,Stavanger,NO
R00488,Hamburg,DE
R00489,Viken,NO
R00490,Bergen,NO
R00491,Helsinki,FI
R00492,Bergen,NO
R00493,Hamburg,DE
R00494,Copenhagen,DK
R00495,Oslo,NO
R00496,Bergen,NO
R00497,Bergen,NO
R00498,Trondheim,NO
R00499,Warsaw,PL
R00500,Oslo,NO
R00501,Stavanger,NO
R00502,Hamburg,DE
R00503,Helsinki,FI
R00504,Hamburg,DE
R00505,Oslo,NO
R00506,Rogaland,NO
R00507,Bergen,NO
R00508,Oslo,NO
R00509,Oslo,NO
R00510,Oslo,NO
R00511,Helsinki,FI
R00512,Oslo,NO
R00513,Rogaland,NO
R00514,Rogaland,NO
R00515,Oslo,NO
R00516,Copenhagen,DK
R00517,Hamburg,DE
R00518,Oslo,NO
R00519,Bergen,NO
R00520,Viken,NO
R00521,Trondheim,NO
R00522,Bergen,NO
R00523,Rogaland,NO
R00524,Copenhagen,DK
R00525,Warsaw,PL
R00526,Viken,NO
R00527,Hamburg,DE
R00528,Bergen,NO
R00529,Oslo,NO
R00530,Trondheim,NO
R00531,Bergen,NO
R00532,Stavanger,NO
R00533,Helsinki,FI
R00534,Oslo,NO
R00535,Helsinki,FI
R00536,Stavanger,NO
R00537,Helsinki,FI
R00538,Rogaland,NO
R00539,Hamburg,DE
R00540,Hamburg,DE
R00541,Stavanger,NO
R00542,Copenhagen,DK
R00543,Copenhagen,DK
R00544,Stavanger,NO
R00545,Stavanger,NO
R00546,Copenhagen,DK
R00547,Bergen,NO
R00548,Rogaland,NO
R00549,Warsaw,PL
R00550,Hamburg,DE
R00551,Trondheim,NO
R00552,Warsaw,PL
R00553,Viken,NO
R00554,Helsinki,FI
R00555,Copenhagen,DK
R00556,Stavanger,NO
R00557,Oslo,NO
R00558,Trondheim,NO
R00559,Helsinki,FI
R00560,Oslo,NO
R00561,Copenhagen,DK
R00562,Hamburg,DE
R00563,Oslo,NO
R00564,Bergen,NO
R00565,Trondheim,NO
R00566,Trondheim,NO
R00567,Helsinki,FI
R00568,Copenhagen,DK
R00569,Helsinki,FI
R00570,Oslo,NO
R00571,Stavanger,NO
R00572,Helsinki,FI
R00573,Hamburg,DE
R00574,Copenhagen,DK
R00575,Viken,NO
R00576,Rogaland,NO
R00577,Warsaw,PL
R00578,Copenhagen,DK
R00579,Bergen,NO
R00580,Copenhagen,DK
R00581,Hamburg,DE
R00582,Hamburg,DE
R00583,Stavanger,NO
R00584,Hamburg,DE
R00585,Helsinki,FI
R00586,Rogaland,NO
R00587,Helsinki,FI
R00588,Hamburg,DE
R00589,Rogaland,NO
R00590,Stavanger,NO
R00591,Rogaland,NO
R00592,Hamburg,DE
R00593,Hamburg,DE
R00594,Helsinki,FI
R00595,Warsaw,PL
R00596,Rogaland,NO
R00597,Stavanger,NO
R00598,Trondheim,NO
R00599,Rogaland,NO
R00600,Oslo,NO
R00601,Viken,NO
R00602,Stavanger,NO
R00603,Bergen,NO
R00604,Viken,NO
R00605,Stavanger,NO
R00606,Viken,NO
R00607,Helsinki,FI
R00608,Hamburg,DE
R00609,Warsaw,PL
R00610,Trondheim,NO
R00611,Oslo,NO
R00612,Rogaland,NO
R00613,Hamburg,DE
R00614,Trondheim,NO
R00615,Rogaland,NO
R00616,Copenhagen,DK
R00617,Warsaw,PL
R00618,Helsinki,FI
R00619,Trondheim,NO
R00620,Oslo,NO
R00621,Helsinki,FI
R00622,Oslo,NO
R00623,Oslo,NO
R00624,Warsaw,PL
R00625,Copenhagen,DK
R00626,Hamburg,DE
R00627,Stavanger,NO
R00628,Copenhagen,DK
R00629,Viken,NO
R00630,Oslo,NO
R00631,Oslo,NO
R00632,Viken,NO
R00633,Trondheim,NO
R00634,Rogaland,NO
R00635,Viken,NO
R00636,Helsinki,FI
R00637,Oslo,NO
R00638,Rogaland,NO
R00639,Warsaw,PL
R00640,Trondheim,NO
R00641,Viken,NO
R00642,Warsaw,PL
R00643,Bergen,NO
R00644,Hamburg,DE
R00645,Helsinki,FI
R00646,Hamburg,DE
R00647,Oslo,NO
R00648,Trondheim,NO
R00649,Rogaland,NO
R00650,Copenhagen,DK
R00651,Stavanger,NO
R00652,Oslo,NO
R00653,Trondheim,NO
R00654,Warsaw,PL
R00655,Trondheim,NO
R00656,Helsinki,FI
R00657,Stavanger,NO
R00658,Warsaw,PL
R00659,Viken,NO
R00660,Stavanger,NO
R00661,Helsinki,FI
R00662,Hamburg,DE
R00663,Hamburg,DE
R00664,Stavanger,NO
R00665,Copenhagen,DK
R00666,Helsinki,FI
R00667,Viken,NO
R00668,Bergen,NO
R00669,Stavanger,NO
R00670,Viken,NO
R00671,Warsaw,PL
R00672,Trondheim,NO
R00673,Viken,NO
R00674,Rogaland,NO
R00675,Stavanger,NO
R00676,Oslo,NO
R00677,Warsaw,PL
R00678,Rogaland,NO
R00679,Bergen,NO
R00680,Hamburg,DE
R00681,Warsaw,PL
R00682,Warsaw,PL
R00683,Stavanger,NO
R00684,Warsaw,PL
R00685,Helsinki,FI
R00686,Hamburg,DE
R00687,Trondheim,NO
R00688,Bergen,NO
R00689,Warsaw,PL
R00690,Copenhagen,DK
R00691,Hamburg,DE
R00692,Hamburg,DE
R00693,Helsinki,FI
R00694,Warsaw,PL
R00695,Viken,NO
R00696,Copenhagen,DK
R00697,Copenhagen,DK
R00698,Warsaw,PL
R00699,Viken,NO
R00700,Stavanger,NO
R00701,Helsinki,FI
R00702,Stavanger,NO
R00703,Hamburg,DE
R00704,Copenhagen,DK
R00705,Bergen,NO
R00706,Trondheim,NO
R00707,Bergen,NO
R00708,Rogaland,NO
R00709,Rogaland,NO
R00710,Bergen,NO
R00711,Hamburg,DE
R00712,Rogaland,NO
R00713,Stavanger,NO
R00714,Helsinki,FI
R00715,Rogaland,NO
R00716,Trondheim,NO
R00717,Copenhagen,DK
R00718,Warsaw,PL
R00719,Bergen,NO
R00720,Hamburg,DE
R00721,Viken,NO
R00722,Viken,NO
R00723,Warsaw,PL
R00724,Copenhagen,DK
R00725,Hamburg,DE
R00726,Warsaw,PL
R00727,Rogaland,NO
R00728,Helsinki,FI
R00729,Oslo,NO
R00730,Oslo,NO
R00731,Helsinki,FI
R00732,Oslo,NO
R00733,Rogaland,NO
R00734,Bergen,NO
R00735,Copenhagen,DK
R00736,Viken,NO
R00737,Copenhagen,DK
R00738,Oslo,NO
R00739,Viken,NO
R00740,Bergen,NO
R00741,Rogaland,NO
R00742,Viken,NO
R00743,Hamburg,DE
R00744,Helsinki,FI
R00745,Oslo,NO
R00746,Rogaland,NO
R00747,Bergen,NO
R00748,Oslo,NO
R00749,Stavanger,NO
R00750,Helsinki,FI
R00751,Rogaland,NO
R00752,Trondheim,NO
R00753,Oslo,NO
R00754,Oslo,NO
R00755,Helsinki,FI
R00756,Oslo,NO
R00757,Helsinki,FI
R00758,Copenhagen,DK
R00759,Warsaw,PL
R00760,Bergen,NO
R00761,Hamburg,DE
R00762,Stavanger,NO
R00763,Hamburg,DE
R00764,Trondheim,NO
R00765,Warsaw,PL
R00766,Viken,NO
R00767,Oslo,NO
R00768,Hamburg,DE
R00769,Hamburg,DE
R00770,Helsinki,FI
R00771,Trondheim,NO
R00772,Hamburg,DE
R00773,Helsinki,FI
R00774,Warsaw,PL
R00775,Viken,NO
R00776,Trondheim,NO
R00777,Helsinki,FI
R00778,Viken,NO
R00779,Trondheim,NO
R00780,Helsinki,FI
R00781,Stavanger,NO
R00782,Warsaw,PL
R00783,Stavanger,NO
R00784,Copenhagen,DK
R00785,Trondheim,NO
R00786,Copenhagen,DK
R00787,Helsinki,FI
R00788,Copenhagen,DK
R00789,Stavanger,NO
R00790,Bergen,NO
R00791,Trondheim,NO
R00792,Copenhagen,DK
R00793,Trondheim,NO
R00794,Oslo,NO
R00795,Viken,NO
R00796,Hamburg,DE
R00797,Bergen,NO
R00798,Viken,NO
R00799,Trondheim,NO
R00800,Stavanger,NO
R00801,Stavanger,NO
R00802,Stavanger,NO
R00803,Copenhagen,DK
R00804,Viken,NO
R00805,Trondheim,NO
R00806,Warsaw,PL
R00807,Warsaw,PL
R00808,Stavanger,NO
R00809,Hamburg,DE
R00810,Rogaland,NO
R00811,Hamburg,DE
R00812,Hamburg,DE
R00813,Rogaland,NO
R00814,Bergen,NO
R00815,Hamburg,DE
R00816,Bergen,NO
R00817,Bergen,NO
R00818,Rogaland,NO
R00819,Hamburg,DE
R00820,Bergen,NO
R00821,Trondheim,NO
R00822,Oslo,NO
R00823,Hamburg,DE
R00824,Warsaw,PL
R00825,Bergen,NO
R00826,Trondheim,NO
R00827,Bergen,NO
R00828,Viken,NO
R00829,Helsinki,FI
R00830,Warsaw,PL
R00831,Stavanger,NO
R00832,Rogaland,NO
R00833,Stavanger,NO
R00834,Bergen,NO
R00835,Helsinki,FI
R00836,Trondheim,NO
R00837,Copenhagen,DK
R00838,Hamburg,DE
R00839,Hamburg,DE
R00840,Oslo,NO
R00841,Rogaland,NO
R00842,Oslo,NO
R00843,Warsaw,PL
R00844,Viken,NO
R00845,Bergen,NO
R00846,Viken,NO
R00847,Rogaland,NO
R00848,Copenhagen,DK
R00849,Bergen,NO
R00850,Copenhagen,DK
R00851,Viken,NO
R00852,Rogaland,NO
R00853,Trondheim,NO
R00854,Rogaland,NO
R00855,Trondheim,NO
R00856,Warsaw,PL
R00857,Helsinki,FI
R00858,Trondheim,NO
R00859,Oslo,NO
R00860,Rogaland,NO
R00861,Oslo,NO
R00862,Rogaland,NO
R00863,Warsaw,PL
R00864,Copenhagen,DK
R00865,Oslo,NO
R00866,Bergen,NO
R00867,Hamburg,DE
R00868,Stavanger,NO
R00869,Warsaw,PL
R00870,Hamburg,DE
R00871,Warsaw,PL
R00872,Helsinki,FI
R00873,Hamburg,DE
R00874,Rogaland,NO
R00875,Trondheim,NO
R00876,Copenhagen,DK
R00877,Oslo,NO
R00878,Helsinki,FI
R00879,Warsaw,PL
R00880,Warsaw,PL
R00881,Oslo,NO
R00882,Rogaland,NO
R00883,Copenhagen,DK
R00884,Warsaw,PL
R00885,Hamburg,DE
R00886,Rogaland,NO
R00887,Helsinki,FI
R00888,Stavanger,NO
R00889,Bergen,NO
R00890,Rogaland,NO
R00891,Rogaland,NO
R00892,Bergen,NO
R00893,Rogaland,NO
R00894,Hamburg,DE
R00895,Viken,NO
R00896,Rogaland,NO
R00897,Stavanger,NO
R00898,Hamburg,DE
R00899,Warsaw,PL
R00900,Oslo,NO
R00901,Helsinki,FI
R00902,Rogaland,NO
R00903,Bergen,NO
R00904,Oslo,NO
R00905,Copenhagen,DK
R00906,Oslo,NO
R00907,Stavanger,NO
R00908,Hamburg,DE
R00909,Trondheim,NO
R00910,Bergen,NO
R00911,Copenhagen,DK
R00912,Warsaw,PL
R00913,Rogaland,NO
R00914,Bergen,NO
R00915,Viken,NO
R00916,Oslo,NO
R00917,Copenhagen,DK
R00918,Oslo,NO
R00919,Helsinki,FI
R00920,Trondheim,NO
R00921,Warsaw,PL
R00922,Hamburg,DE
R00923,Hamburg,DE
R00924,Helsinki,FI
R00925,Trondheim,NO
R00926,Warsaw,PL
R00927,Stavanger,NO
R00928,Bergen,NO
R00929,Helsinki,FI
R00930,Hamburg,DE
R00931,Trondheim,NO
R00932,Copenhagen,DK
R00933,Bergen,NO
R00934,Rogaland,NO
R00935,Copenhagen,DK
R00936,Trondheim,NO
R00937,Copenhagen,DK
R00938,Hamburg,DE
R00939,Warsaw,PL
R00940,Stavanger,NO
R00941,Warsaw,PL
R00942,Bergen,NO
R00943,Rogaland,NO
R00944,Hamburg,DE
R00945,Hamburg,DE
R00946,Oslo,NO
R00947,Copenhagen,DK
R00948,Oslo,NO
R00949,Helsinki,FI
R00950,Bergen,NO
R00951,Oslo,NO
R00952,Rogaland,NO
R00953,Warsaw,PL
R00954,Warsaw,PL
R00955,Trondheim,NO
R00956,Rogaland,NO
R00957,Copenhagen,DK
R00958,Copenhagen,DK
R00959,Oslo,NO
R00960,Warsaw,PL
R00961,Oslo,NO
R00962,Rogaland,NO
R00963,Helsinki,FI
R00964,Rogaland,NO
R00965,Bergen,NO
R00966,Copenhagen,DK
R00967,Rogaland,NO
R00968,Stavanger,NO
R00969,Hamburg,DE
R00970,Helsinki,FI
R00971,Copenhagen,DK
R00972,Copenhagen,DK
R00973,Oslo,NO
R00974,Rogaland,NO
R00975,Warsaw,PL
R00976,Warsaw,PL
R00977,Viken,NO
R00978,Oslo,NO
R00979,Helsinki,FI
R00980,Hamburg,DE
R00981,Hamburg,DE
R00982,Helsinki,FI
R00983,Warsaw,PL
R00984,Oslo,NO
R00985,Bergen,NO
R00986,Trondheim,NO
R00987,Bergen,NO
R00988,Oslo,NO
R00989,Rogaland,NO
R00990,Viken,NO
R00991,Viken,NO
R00992,Bergen,NO
R00993,Trondheim,NO
R00994,Warsaw,PL
R00995,Rogaland,NO
R00996,Oslo,NO
R00997,Hamburg,DE
R00998,Bergen,NO
R00999,Hamburg,DE
R01000,Stavanger,NO
R01001,Rogaland,NO
R01002,Trondheim,NO
R01003,Stavanger,NO
R01004,Bergen,NO
R01005,Oslo,NO
R01006,Trondheim,NO
R01007,Trondheim,NO
R01008,Oslo,NO
R01009,Viken,NO
R01010,Viken,NO
R01011,Oslo,NO
R01012,Bergen,NO
R01013,Helsinki,FI
R01014,Helsinki,FI
R01015,Helsinki,FI
R01016,Copenhagen,DK
R01017,Warsaw,PL
R01018,Copenhagen,DK
R01019,Warsaw,PL
R01020,Warsaw,PL
R01021,Oslo,NO
R01022,Copenhagen,DK
R01023,Helsinki,FI
R01024,Stavanger,NO
R01025,Hamburg,DE
R01026,Copenhagen,DK
R01027,Hamburg,DE
R01028,Viken,NO
R01029,Helsinki,FI
R01030,Warsaw,PL
R01031,Warsaw,PL
R01032,Hamburg,DE
R01033,Oslo,NO
R01034,Copenhagen,DK
R01035,Stavanger,NO
R01036,Copenhagen,DK
R01037,Oslo,NO
R01038,Stavanger,NO
R01039,Stavanger,NO
R01040,Stavanger,NO
R01041,Stavanger,NO
R01042,Hamburg,DE
R01043,Oslo,NO
R01044,Viken,NO
R01045,Copenhagen,DK
R01046,Helsinki,FI
R01047,Stavanger,NO
R01048,Rogaland,NO
R01049,Oslo,NO
R01050,Hamburg,DE
R01051,Warsaw,PL
R01052,Hamburg,DE
R01053,Stavanger,NO
R01054,Helsinki,FI
R01055,Bergen,NO
R01056,Stavanger,NO
R01057,Hamburg,DE
R01058,Bergen,NO
R01059,Warsaw,PL
R01060,Copenhagen,DK
R01061,Stavanger,NO
R01062,Trondheim,NO
R01063,Rogaland,NO
R01064,Helsinki,FI
R01065,Hamburg,DE
R01066,Stavanger,NO
R01067,Bergen,NO
R01068,Helsinki,FI
R01069,Trondheim,NO
R01070,Copenhagen,DK
R01071,Rogaland,NO
R01072,Oslo,NO
R01073,Helsinki,FI
R01074,Bergen,NO
R01075,Copenhagen,DK
R01076,Rogaland,NO
R01077,Oslo,NO
R01078,Viken,NO
R01079,Bergen,NO
R01080,Trondheim,NO
R01081,Copenhagen,DK
R01082,Stavanger,NO
R01083,Copenhagen,DK
R01084,Oslo,NO
R01085,Viken,NO
R01086,Stavanger,NO
R01087,Warsaw,PL
R01088,Rogaland,NO
R01089,Copenhagen,DK
R01090,Stavanger,NO
R01091,Oslo,NO
R01092,Rogaland,NO
R01093,Hamburg,DE
R01094,Stavanger,NO
R01095,Trondheim,NO
R01096,Hamburg,DE
R01097,Oslo,NO
R01098,Warsaw,PL
R01099,Warsaw,PL
