link_id,customer_id,project_id,region_id
L00069,C05471,P09622,R08480
L00070,C09704,P00045,R02225
L00071,C00988,P06184,R08554
L00072,C05353,P00301,R04707
L00073,C08426,P00169,R02600
L00074,C05970,P00672,R06506
L00075,C06591,P02488,R02942
L00076,C07122,P02473,R03361
L00077,C01546,P03144,R08333
L00078,C07420,P01201,R08932
L00079,C08443,P07249,R01257
L00080,C08563,P07415,R04940
L00081,C08472,P01031,R06266
L00082,C02550,P03113,R04602
L00083,C09298,P07817,R06426
L00084,C06136,P07520,R04991
L00085,C03396,P06349,R00553
L00086,C08656,P08470,R05161
L00087,C07389,P01848,R08273
L00088,C05526,P00117,R01562
L00089,C04246,P00730,R08987
L00090,C02346,P09965,R08502
L00091,C02852,P08043,R06219
L00092,C00752,P04221,R03950
L00093,C02149,P09751,R09498
L00094,C00306,P03730,R04091
L00095,C08106,P08109,R01847
L00096,C04529,P01612,R07612
L00097,C09563,P07995,R04177
L00098,C00832,P03188,R09086
L00099,C08366,P06063,R01123
L00100,C05627,P06434,R09049
L00101,C07755,P09221,R03760
L00102,C02097,P07030,R08129
L00103,C04254,P05569,R08573
L00104,C02633,P04020,R08552
L00105,C00303,P04030,R01756
L00106,C00648,P03300,R00938
L00107,C05183,P01705,R03107
L00108,C03953,P08591,R05212
L00109,C03796,P06878,R00503
L00110,C02629,P07691,R03934
L00111,C09334,P05974,R00188
L00112,C01026,P09585,R06296
L00113,C02589,P01126,R08119
L00114,C09795,P04674,R05308
L00115,C04265,P04644,R07117
L00116,C06621,P03470,R05762
L00117,C01119,P02398,R04594
L00118,C07476,P01583,R04212
L00119,C08630,P01141,R03410
L00120,C04026,P03724,R05600
L00121,C00695,P08292,R01823
L00122,C05976,P09174,R06276
L00123,C08523,P09976,R04478
L00124,C04037,P07078,R03448
L00125,C09212,P07200,R04888
L00126,C08655,P04496,R01590
L00127,C09896,P02442,R07541
L00128,C03638,P08499,R04111
L00129,C07488,P01328,R04400
L00130,C08327,P01661,R02663
L00131,C01881,P05494,R02225
L00132,C05897,P01838,R02426
L00133,C09032,P00800,R01928
L00134,C06905,P07574,R06860
L00135,C05406,P05883,R09468
L00136,C08268,P04679,R05075
L00137,C03132,P04901,R09782
L00138,C00637,P05831,R00690
L00139,C03971,P02057,R02795
L00140,C07287,P03439,R07522
L00141,C03749,P02307,R02150
L00142,C08356,P03678,R02773
L00143,C01310,P02832,R07637
L00144,C07687,P06063,R03992
L00145,C07294,P08290,R00759
L00146,C07707,P07632,R00519
L00147,C01224,P03540,R07381
L00148,C09026,P02540,R03975
L00149,C00551,P09980,R07079
L00150,C07433,P04134,R06085
L00151,C04758,P02007,R08909
L00152,C04189,P01311,R03501
L00153,C05485,P07179,R05848
L00154,C06518,P09923,R02108
L00155,C02585,P08877,R01863
L00156,C07911,P03406,R04643
L00157,C05936,P06372,R02842
L00158,C05362,P07496,R00123
L00159,C06635,P00972,R05275
L00160,C05555,P02188,R04437
L00161,C04586,P05310,R04884
L00162,C08931,P01871,R07570
L00163,C02605,P04404,R06658
L00164,C05682,P09516,R04562
L00165,C04443,P04003,R08751
L00166,C07102,P08235,R05757
L00167,C06271,P06707,R07249
L00168,C07153,P04989,R06726
L00169,C08359,P03810,R05605
L00170,C02016,P07827,R05927
L00171,C09647,P07292,R03272
L00172,C06446,P04596,R03968
L00173,C01604,P07856,R01952
L00174,C00034,P02076,R09857
L00175,C05136,P08150,R02866
L00176,C09234,P04086,R00363
L00177,C09183,P08850,R09313
L00178,C08674,P03050,R00824
L00179,C03095,P01830,R07035
L00180,C06561,P02147,R01295
L00181,C08481,P05016,R01508
L00182,C06124,P05069,R05861
L00183,C07303,P02539,R08186
L00184,C07851,P00687,R04460
L00185,C02315,P07435,R07362
L00186,C09621,P07467,R01565
L00187,C00939,P04361,R00834
L00188,C04227,P04669,R07188
L00189,C02062,P04217,R04146
L00190,C06036,P07895,R03269
L00191,C02968,P02216,R01391
L00192,C09074,P09780,R00276
L00193,C01374,P09782,R06645
L00194,C08755,P09591,R04781
L00195,C03559,P08585,R04188
L00196,C08384,P01699,R07107
L00197,C05439,P09332,R02018
L00198,C00036,P06336,R06072
L00199,C06024,P00439,R03217
L00200,C02081,P03284,R08274
L00201,C00246,P09500,R09279
L00202,C08308,P05138,R01138
L00203,C01052,P05836,R08717
L00204,C01353,P04901,R08037
L00205,C06955,P03040,R03500
L00206,C02248,P03506,R00155
L00207,C09277,P03195,R01522
L00208,C06906,P03723,R05877
L00209,C08914,P05442,R01052
L00210,C02837,P05471,R02744
L00211,C06363,P06785,R09885
L00212,C00569,P04177,R05070
L00213,C02806,P06960,R01034
L00214,C09813,P09072,R07075
L00215,C08002,P04121,R06441
L00216,C08912,P02350,R00241
L00217,C02726,P02027,R04549
L00218,C08942,P02997,R03316
L00219,C06588,P01539,R00466
L00220,C03078,P03191,R02502
L00221,C03314,P05137,R04773
L00222,C03906,P05423,R07049
L00223,C05543,P00633,R08339
L00224,C05178,P05903,R01996
L00225,C09426,P09759,R07838
L00226,C03968,P01342,R08563
L00227,C05324,P06315,R02776
L00228,C02893,P03283,R09413
L00229,C07435,P02343,R06355
L00230,C03482,P01887,R01014
L00231,C05099,P08093,R06396
L00232,C01471,P04867,R08787
L00233,C05128,P04460,R01287
L00234,C02278,P03153,R03440
L00235,C02467,P09317,R05217
L00236,C00445,P01650,R00677
L00237,C02521,P03924,R06176
L00238,C08675,P07435,R04471
L00239,C04223,P05368,R03454
L00240,C00847,P04910,R09955
L00241,C06520,P03446,R05814
L00242,C07085,P04926,R02118
L00243,C02440,P09039,R05278
L00244,C07291,P04961,R03519
L00245,C03394,P09328,R04242
L00246,C01943,P08776,R04982
L00247,C01238,P02979,R04521
L00248,C02082,P09663,R04773
L00249,C04674,P04807,R02396
L00250,C08469,P01827,R00953
L00251,C09813,P07038,R06612
L00252,C06073,P08499,R03184
L00253,C07742,P08048,R02411
L00254,C08210,P07765,R08275
L00255,C00861,P06275,R01727
L00256,C09993,P07664,R09496
L00257,C08212,P05455,R08249
L00258,C03495,P05877,R06487
L00259,C07857,P00195,R06731
L00260,C00321,P06183,R07698
L00261,C06996,P01775,R00148
L00262,C04355,P09913,R04559
L00263,C04635,P00598,R01863
L00264,C04488,P08525,R03216
L00265,C05292,P03406,R06587
L00266,C09418,P09317,R09297
L00267,C06497,P09310,R02231
L00268,C05741,P08241,R04209
L00269,C02224,P04474,R05536
L00270,C00764,P03333,R05107
L00271,C04682,P01368,R01988
L00272,C01052,P01230,R04047
L00273,C01137,P00640,R02840
L00274,C09760,P07952,R09435
L00275,C01951,P06504,R09511
L00276,C08317,P02048,R04201
L00277,C08056,P08296,R06502
L00278,C01632,P09649,R04062
L00279,C07300,P05878,R07387
L00280,C06008,P08708,R06290
L00281,C08929,P08460,R06246
L00282,C02444,P08035,R00382
L00283,C01973,P07062,R06810
L00284,C00524,P05553,R07603
L00285,C03249,P05782,R05595
L00286,C04264,P08225,R01002
L00287,C01825,P02693,R05163
L00288,C03761,P01640,R09534
L00289,C02131,P04298,R06124
L00290,C05949,P08937,R07436
L00291,C02970,P02464,R00726
L00292,C00699,P07842,R06472
L00293,C08670,P00133,R08925
L00294,C03993,P03589,R03813
L00295,C02805,P04724,R03483
L00296,C09864,P06651,R05356
L00297,C01766,P04894,R05580
L00298,C05902,P01272,R04405
L00299,C08936,P05385,R01434
L00300,C07635,P06797,R08465
L00301,C09457,P09746,R05743
L00302,C04046,P09064,R07312
L00303,C06413,P01993,R08176
L00304,C03322,P02232,R03278
L00305,C07870,P02603,R01964
L00306,C06091,P06051,R02270
L00307,C07012,P09526,R06972
L00308,C00989,P08664,R00027
L00309,C08413,P04724,R08730
L00310,C03349,P06728,R04062
L00311,C00290,P06416,R06372
L00312,C04247,P09349,R00673
L00313,C03408,P02671,R00303
L00314,C06538,P06802,R03361
L00315,C06926,P08769,R05775
L00316,C07069,P07144,R06419
L00317,C09469,P02599,R08226
L00318,C03983,P04511,R06102
L00319,C02732,P08653,R01853
L00320,C05890,P03706,R01079
L00321,C00662,P03390,R04369
L00322,C02944,P09314,R01836
L00323,C00644,P06301,R05791
L00324,C09309,P00250,R07937
L00325,C04986,P03750,R06301
L00326,C04455,P04864,R00046
L00327,C03306,P07833,R03113
L00328,C07268,P06718,R05448
L00329,C06455,P02711,R06085
L00330,C05147,P04133,R04969
L00331,C09836,P02377,R04696
L00332,C09149,P07668,R04192
L00333,C07062,P00113,R08684
L00334,C09481,P01359,R09020
L00335,C04861,P03404,R03238
L00336,C09783,P04791,R01932
L00337,C06819,P01371,R09928
L00338,C09080,P01947,R00202
L00339,C08556,P04560,R03900
L00340,C04237,P05949,R08747
L00341,C00517,P04498,R06112
L00342,C07378,P07411,R03345
L00343,C05444,P09656,R04779
L00344,C04167,P06717,R07106
L00345,C06678,P09236,R07206
L00346,C06496,P01243,R00152
L00347,C05265,P06362,R08770
L00348,C00233,P01817,R01109
L00349,C04381,P08473,R09339
L00350,C09601,P09322,R08175
L00351,C05035,P09674,R04445
L00352,C02299,P05726,R05111
L00353,C02863,P03007,R02750
L00354,C06639,P04276,R05527
L00355,C04208,P07639,R08499
L00356,C08702,P08120,R01741
L00357,C05361,P08806,R01791
L00358,C01235,P09386,R09053
L00359,C09030,P06589,R02997
L00360,C02572,P01363,R08151
L00361,C00032,P00819,R02203
L00362,C09241,P02658,R03927
L00363,C03108,P08634,R09792
L00364,C04397,P06670,R05043
L00365,C07411,P08247,R06050
L00366,C07831,P05106,R03520
L00367,C04910,P09235,R09972
L00368,C06996,P01828,R07830
L00369,C01642,P05185,R05010
L00370,C01660,P05622,R01596
L00371,C04637,P09377,R07710
L00372,C02088,P04710,R09034
L00373,C06625,P01358,R09465
L00374,C03473,P02554,R04970
L00375,C01522,P03508,R01347
L00376,C00364,P07894,R07352
L00377,C06429,P00037,R00995
L00378,C03046,P05604,R09863
L00379,C05061,P06987,R08470
L00380,C01922,P09554,R03897
L00381,C01975,P08830,R04446
L00382,C03731,P00102,R01151
L00383,C05142,P05541,R06186
L00384,C06660,P08272,R08552
L00385,C04272,P08972,R02942
L00386,C04702,P07797,R04746
L00387,C04433,P04536,R02516
L00388,C06806,P01061,R03330
L00389,C04240,P02642,R07843
L00390,C09766,P04980,R04293
L00391,C03585,P08802,R02416
L00392,C08632,P09116,R06214
L00393,C00864,P08394,R01988
L00394,C08140,P08117,R05946
L00395,C00034,P07406,R09287
L00396,C03815,P04925,R03139
L00397,C00661,P04620,R01888
L00398,C02130,P00959,R02874
L00399,C04502,P02665,R02835
L00400,C04397,P03763,R00865
L00401,C00331,P00477,R01902
L00402,C07337,P05515,R03272
L00403,C09560,P05158,R06245
L00404,C07408,P07629,R02861
L00405,C04119,P07238,R00424
L00406,C01766,P07268,R08126
L00407,C05414,P03433,R08310
L00408,C08306,P00232,R03916
L00409,C01058,P08907,R00411
L00410,C01523,P01416,R06874
L00411,C09040,P01040,R01194
L00412,C00611,P05160,R04165
L00413,C01318,P00029,R04198
L00414,C09040,P05918,R07019
L00415,C01059,P03288,R03681
L00416,C03617,P07146,R06798
L00417,C01543,P04084,R00240
L00418,C00340,P03673,R00857
L00419,C04789,P09656,R04669
L00420,C05092,P07834,R01302
L00421,C00859,P01756,R01785
L00422,C05702,P03132,R09707
L00423,C05313,P00303,R05669
L00424,C08791,P07791,R02883
L00425,C08911,P01917,R05623
L00426,C08826,P01098,R09129
L00427,C00558,P06620,R02200
L00428,C08332,P06767,R03051
L00429,C01736,P07517,R01410
L00430,C06969,P00048,R05877
L00431,C03581,P04639,R08533
L00432,C03438,P02040,R01252
L00433,C06238,P08818,R08765
L00434,C06671,P04793,R01723
L00435,C01158,P07317,R04830
L00436,C09876,P07393,R08553
L00437,C04040,P01682,R01791
L00438,C08008,P08036,R06694
L00439,C04469,P02949,R08824
L00440,C06344,P01792,R06458
L00441,C04175,P02229,R04502
L00442,C04683,P02483,R02202
L00443,C01968,P08878,R09091
L00444,C06513,P00530,R03957
L00445,C07065,P00355,R01294
L00446,C09993,P05476,R05999
L00447,C06423,P02554,R02191
L00448,C00692,P09661,R06425
L00449,C00759,P08452,R08801
L00450,C06467,P07735,R05067
L00451,C09449,P04002,R09441
L00452,C03873,P09823,R08832
L00453,C09830,P06459,R07427
L00454,C08855,P02649,R00014
L00455,C03313,P05601,R08351
L00456,C09852,P03221,R08207
L00457,C08708,P06857,R08990
L00458,C00456,P07851,R00974
L00459,C00883,P09381,R05600
L00460,C04057,P01248,R00415
L00461,C04659,P01208,R00175
L00462,C00497,P03905,R09502
L00463,C06904,P02414,R03216
L00464,C02822,P04948,R00444
L00465,C03617,P06610,R07763
L00466,C08485,P02377,R03945
L00467,C00816,P00420,R00029
L00468,C03077,P06834,R07945
L00469,C01883,P01496,R04319
L00470,C05192,P04366,R05735
L00471,C00814,P01230,R04437
L00472,C04035,P03265,R01355
L00473,C03645,P06376,R06577
L00474,C00794,P09646,R07668
L00475,C05003,P04075,R00617
L00476,C04269,P04308,R08395
L00477,C03385,P06629,R00884
L00478,C06229,P07404,R06049
L00479,C01067,P05048,R02339
L00480,C09490,P03834,R01792
L00481,C03801,P08520,R05948
L00482,C04880,P00878,R01750
L00483,C08160,P01948,R09925
L00484,C02044,P05790,R08702
L00485,C06858,P07637,R07661
L00486,C02808,P09610,R07482
L00487,C01781,P09511,R09986
L00488,C04160,P03027,R07225
L00489,C01873,P07794,R08041
L00490,C04136,P00985,R01481
L00491,C08160,P02425,R04336
L00492,C07849,P04909,R08378
L00493,C03300,P00981,R01184
L00494,C07573,P03566,R07361
L00495,C04849,P06177,R02219
L00496,C03589,P07905,R02156
L00497,C06136,P08327,R01986
L00498,C07079,P05399,R03696
L00499,C03279,P08459,R08946
L00500,C07087,P04156,R00280
L00501,C01468,P09980,R02098
L00502,C06825,P03281,R01232
L00503,C07429,P01154,R05321
L00504,C08520,P05689,R09535
L00505,C01508,P00161,R04582
L00506,C07075,P06696,R00555
L00507,C00562,P04739,R09002
L00508,C02795,P05912,R05147
L00509,C02452,P03319,R05564
L00510,C03937,P01739,R07968
L00511,C04685,P08992,R03856
L00512,C05543,P02392,R05414
L00513,C08589,P08930,R01381
L00514,C07407,P08495,R05280
L00515,C03099,P02925,R02862
L00516,C03331,P01443,R03964
L00517,C00857,P03481,R01143
L00518,C00199,P03196,R04130
L00519,C07230,P01572,R02477
L00520,C07462,P07780,R02701
L00521,C08274,P02024,R02890
L00522,C06730,P07212,R01286
L00523,C05679,P01616,R09907
L00524,C02330,P08022,R06490
L00525,C09556,P00133,R05397
L00526,C08355,P00831,R01042
L00527,C07397,P01736,R06595
L00528,C03380,P08372,R00960
L00529,C03651,P05278,R09733
L00530,C09720,P08357,R00245
L00531,C01986,P06104,R04202
L00532,C09539,P01143,R04363
L00533,C00688,P04942,R04098
L00534,C08225,P07676,R00918
L00535,C09097,P01482,R01847
L00536,C09470,P04741,R04764
L00537,C09324,P08732,R05976
L00538,C01853,P04656,R06125
L00539,C00892,P06154,R00795
L00540,C03590,P05714,R09217
L00541,C04750,P01766,R09965
L00542,C01125,P06231,R09698
L00543,C03175,P07637,R06649
L00544,C00070,P02218,R04665
L00545,C00815,P00575,R00804
L00546,C04871,P02260,R01575
L00547,C01580,P08872,R03536
L00548,C00843,P00564,R03086
L00549,C02369,P01672,R07225
L00550,C03940,P03481,R06848
L00551,C06036,P05998,R05844
L00552,C06140,P05386,R06482
L00553,C03206,P06885,R08479
L00554,C00980,P09078,R04842
L00555,C08245,P04973,R02524
L00556,C02955,P08990,R09266
L00557,C07432,P08705,R08729
L00558,C00373,P05839,R06831
L00559,C06160,P06946,R07603
L00560,C06332,P03823,R07848
L00561,C01724,P05526,R00119
L00562,C01820,P06283,R04972
L00563,C02029,P08349,R03619
L00564,C03634,P09073,R01035
L00565,C02278,P09069,R04587
L00566,C08931,P09274,R09383
L00567,C07565,P03970,R00010
L00568,C04121,P06934,R04520
L00569,C00196,P09275,R06453
L00570,C04541,P04263,R06340
L00571,C00945,P00181,R09688
L00572,C01910,P00711,R07365
L00573,C04442,P00081,R02054
L00574,C03484,P02616,R05248
L00575,C04629,P08053,R08683
L00576,C01082,P03400,R00188
L00577,C03238,P04938,R00757
L00578,C05191,P03978,R03580
L00579,C04988,P04081,R05897
L00580,C03072,P05956,R01973
L00581,C06161,P03469,R07749
L00582,C06115,P01470,R05298
L00583,C03919,P06635,R04755
L00584,C01844,P03616,R07696
L00585,C07601,P05400,R02553
L00586,C00281,P05271,R09582
L00587,C07892,P07402,R08812
L00588,C09670,P05477,R00120
L00589,C05653,P08922,R05121
L00590,C03339,P07841,R05937
L00591,C02684,P06163,R09213
L00592,C02478,P09099,R05118
L00593,C04796,P08923,R08798
L00594,C00763,P02074,R06231
L00595,C01196,P05741,R05302
L00596,C05687,P05406,R01583
L00597,C03516,P07921,R06664
L00598,C03759,P07969,R02846
L00599,C09484,P05772,R04662
L00600,C07991,P07508,R06755
L00601,C05558,P07221,R00863
L00602,C00033,P09240,R03089
L00603,C07981,P06690,R05369
L00604,C07154,P09991,R00599
L00605,C07091,P03449,R01675
L00606,C00073,P00659,R06653
L00607,C05302,P00816,R05107
L00608,C05382,P00386,R07711
L00609,C00626,P03906,R00824
L00610,C01633,P02226,R07199
L00611,C03857,P05397,R03078
L00612,C02239,P04269,R05544
L00613,C06434,P03662,R05899
L00614,C05610,P02316,R09765
L00615,C00324,P02860,R05685
L00616,C07418,P00792,R02718
L00617,C00324,P01478,R07528
L00618,C07300,P08564,R00317
L00619,C04946,P06837,R06751
L00620,C04302,P00259,R05773
L00621,C08722,P02305,R04455
L00622,C08320,P00063,R00343
L00623,C01325,P02289,R04989
L00624,C01045,P09502,R09976
L00625,C00151,P00568,R02650
L00626,C06927,P05020,R00468
L00627,C08424,P07560,R08193
L00628,C00943,P01491,R09693
L00629,C08971,P00720,R08294
L00630,C00933,P05909,R00161
L00631,C07440,P04253,R01342
L00632,C01838,P07016,R06010
L00633,C06384,P02638,R04494
L00634,C06770,P00772,R00658
L00635,C02977,P03040,R06133
L00636,C00200,P02591,R01290
L00637,C06730,P00625,R02949
L00638,C07771,P06938,R07687
L00639,C05099,P05137,R03710
L00640,C03229,P02441,R01096
L00641,C07718,P08615,R03595
L00642,C09048,P04113,R05788
L00643,C06928,P00256,R00811
L00644,C02018,P05600,R00058
L00645,C01572,P03306,R00660
L00646,C04144,P02731,R05997
L00647,C04109,P05138,R08709
L00648,C06582,P04458,R02513
L00649,C05844,P01681,R05718
L00650,C02189,P00489,R08427
L00651,C06487,P03042,R02049
L00652,C03733,P09362,R09961
L00653,C08298,P06732,R09483
L00654,C01526,P09129,R05801
L00655,C05306,P02324,R04885
L00656,C05631,P04646,R06551
L00657,C00844,P07507,R01227
L00658,C04578,P00713,R00250
L00659,C04294,P03126,R01987
L00660,C04790,P04170,R01002
L00661,C06042,P01095,R08855
L00662,C09842,P04796,R00518
L00663,C01176,P02776,R07619
L00664,C01161,P02413,R00157
L00665,C09790,P09336,R09655
L00666,C00946,P03016,R01358
L00667,C09376,P06649,R09493
L00668,C03780,P04585,R02875
L00669,C09402,P03812,R05498
L00670,C01185,P08571,R02253
L00671,C03043,P07852,R08451
L00672,C02038,P09425,R01639
L00673,C01378,P07011,R06166
L00674,C00857,P05653,R01243
L00675,C02562,P05525,R05988
L00676,C09791,P09303,R06038
L00677,C02384,P02844,R08363
L00678,C08055,P09142,R09889
L00679,C01911,P05002,R08865
L00680,C07620,P03003,R02144
L00681,C03257,P06030,R01393
L00682,C04368,P03736,R06870
L00683,C09438,P01804,R01730
L00684,C05153,P03910,R07691
L00685,C07668,P03525,R05831
L00686,C09121,P09934,R06017
L00687,C07707,P08896,R06170
L00688,C09682,P08110,R02000
L00689,C02140,P02642,R08599
L00690,C09562,P06193,R01222
L00691,C07016,P05948,R01338
L00692,C03345,P01245,R04332
L00693,C02551,P02275,R04170
L00694,C02954,P08412,R05566
L00695,C06884,P09549,R09599
L00696,C03079,P05986,R07668
L00697,C00234,P04992,R06298
L00698,C09134,P05423,R02516
L00699,C08446,P04565,R07713
L00700,C08006,P02585,R04264
L00701,C06842,P09514,R01592
L00702,C08709,P01054,R00826
L00703,C05263,P03968,R08989
L00704,C02973,P04251,R01179
L00705,C09054,P00921,R02851
L00706,C00753,P08290,R06818
L00707,C09074,P05302,R04025
L00708,C04063,P01393,R09258
L00709,C08641,P08166,R00169
L00710,C04048,P07118,R00591
L00711,C00695,P01759,R00033
L00712,C08015,P08673,R06240
L00713,C08883,P08734,R09176
L00714,C00817,P05594,R08009
L00715,C00819,P09975,R09257
L00716,C09925,P08051,R00017
L00717,C09721,P09516,R02498
L00718,C00603,P09897,R05054
L00719,C00038,P03476,R04883
L00720,C09403,P01658,R08172
L00721,C02259,P00059,R01093
L00722,C05180,P00950,R02707
L00723,C09717,P03606,R00386
L00724,C09337,P01568,R03324
L00725,C09035,P00394,R03409
L00726,C03577,P06202,R07295
L00727,C04244,P09252,R02148
L00728,C00997,P04151,R08098
L00729,C00065,P02917,R08868
L00730,C07766,P08696,R02332
L00731,C09821,P02792,R08951
L00732,C07209,P02661,R08152
L00733,C05421,P05895,R09566
L00734,C01290,P04104,R05332
L00735,C05930,P01096,R00649
L00736,C03920,P08434,R00183
L00737,C03727,P07017,R02345
L00738,C08717,P02540,R02937
L00739,C06589,P03142,R01582
L00740,C06087,P00699,R06203
L00741,C03077,P08667,R04244
L00742,C03902,P00982,R00021
L00743,C04280,P00219,R00459
L00744,C05865,P03031,R05453
L00745,C07003,P07860,R03418
L00746,C06233,P07455,R04691
L00747,C09210,P08430,R07629
L00748,C01618,P09016,R01461
L00749,C09233,P02478,R01942
L00750,C03760,P05267,R07439
L00751,C05161,P08403,R07751
L00752,C09938,P09640,R07844
L00753,C00679,P05676,R02213
L00754,C00975,P06568,R06350
L00755,C06965,P00191,R09388
L00756,C08007,P00485,R01962
L00757,C00160,P02281,R03389
L00758,C06478,P03969,R03232
L00759,C00994,P01661,R04300
L00760,C09225,P05045,R09628
L00761,C03112,P05301,R00664
L00762,C02239,P05884,R03641
L00763,C00941,P01458,R05577
L00764,C07172,P01497,R06770
L00765,C05470,P08017,R00363
L00766,C05050,P07488,R07264
L00767,C00210,P00996,R09919
L00768,C04596,P08383,R07785
L00769,C06740,P02878,R03067
L00770,C00365,P00969,R07452
L00771,C02659,P00330,R09198
L00772,C06171,P05876,R01372
L00773,C02161,P06259,R03371
L00774,C07773,P06715,R02223
L00775,C06962,P02888,R05872
L00776,C01838,P08428,R08740
L00777,C04629,P09303,R07319
L00778,C06050,P07607,R00695
L00779,C07238,P03022,R01605
L00780,C09074,P04210,R03689
L00781,C09130,P06015,R01948
L00782,C05414,P05887,R08601
L00783,C02183,P07199,R01920
L00784,C07037,P01895,R05904
L00785,C00946,P08652,R09104
L00786,C00764,P03292,R01086
L00787,C07725,P09818,R00156
L00788,C01522,P05099,R02947
L00789,C00050,P01359,R06722
L00790,C03101,P07804,R01886
L00791,C00934,P04239,R00870
L00792,C02402,P08880,R07214
L00793,C08633,P07821,R05604
L00794,C06807,P02126,R00976
L00795,C00617,P04730,R09716
L00796,C02370,P06182,R08628
L00797,C01145,P04724,R06837
L00798,C03608,P08818,R08481
L00799,C02191,P07884,R09231
L00800,C01870,P03937,R03694
L00801,C08887,P04433,R09423
L00802,C07495,P01534,R02002
L00803,C06307,P01102,R07604
L00804,C00857,P04530,R09638
L00805,C06543,P04678,R05610
L00806,C06177,P06732,R01487
L00807,C09802,P07532,R04742
L00808,C01850,P00760,R03551
L00809,C08548,P08725,R04844
L00810,C04009,P02927,R09134
L00811,C09441,P05790,R03389
L00812,C07772,P05093,R09333
L00813,C03388,P04911,R08555
L00814,C09851,P09332,R09147
L00815,C03173,P07348,R00719
L00816,C00796,P05377,R04030
L00817,C00106,P03973,R08120
L00818,C06023,P01216,R02238
L00819,C06306,P03144,R06399
L00820,C04435,P04836,R08484
L00821,C01819,P06260,R06640
L00822,C03948,P03924,R00478
L00823,C05030,P03669,R08730
L00824,C06074,P03972,R02373
L00825,C03505,P06569,R07040
L00826,C01963,P07188,R08413
L00827,C06933,P02751,R05527
L00828,C05681,P08538,R08761
L00829,C00994,P04945,R07310
L00830,C08592,P09672,R02632
L00831,C03363,P04515,R07319
L00832,C08746,P01778,R06767
L00833,C01513,P03749,R04854
L00834,C09157,P09901,R03499
L00835,C06698,P08368,R05416
L00836,C08913,P02105,R02484
L00837,C04587,P08366,R03948
L00838,C04994,P02862,R02724
L00839,C07450,P04285,R04960
L00840,C07174,P02021,R00476
L00841,C07087,P04828,R01794
L00842,C02006,P00459,R07427
L00843,C01860,P06868,R08961
L00844,C09359,P01917,R03987
L00845,C00636,P04845,R04189
L00846,C07125,P06459,R06576
L00847,C02487,P01750,R03644
L00848,C05806,P02896,R08822
L00849,C02720,P03863,R00229
L00850,C03208,P09403,R02763
L00851,C01945,P05033,R05546
L00852,C02994,P04975,R07743
L00853,C03145,P05529,R06744
L00854,C01737,P04955,R08963
L00855,C03020,P00596,R05688
L00856,C04420,P06112,R05640
L00857,C04046,P01884,R03827
L00858,C07367,P08501,R00132
L00859,C09677,P06837,R05088
L00860,C01820,P02304,R02146
L00861,C08131,P02710,R04148
L00862,C00870,P06949,R01302
L00863,C08800,P07256,R09573
L00864,C03824,P07371,R04480
L00865,C06906,P05825,R08588
L00866,C06692,P03989,R07419
L00867,C08995,P08742,R04199
L00868,C05860,P03303,R04138
L00869,C07097,P09920,R07330
L00870,C08129,P06832,R09824
L00871,C05084,P03355,R00624
L00872,C01701,P04462,R07798
