transaction_id,customer_id,project_id,loan_amount_nok,guarantee_amount_nok,currency,transaction_date,status,is_green_project
T00035,C03545,P08354,24609062.83,22899303.88,EUR,2022-12-18,Active,False
T00036,C07626,P02088,8882014.9,18281552.08,NOK,2023-11-14,Closed,False
T00037,C01214,P00314,44837674.71,20840832.56,NOK,2021-01-15,Active,True
T00038,C02970,P04827,39068157.74,2919703.69,EUR,2024-07-06,Default,True
T00039,C07376,P03848,13981754.8,20260199.82,EUR,2023-04-23,Default,True
T00040,C09942,P06933,36895922.94,15027397.73,EUR,2023-07-08,Active,False
T00041,C09299,P03848,32760534.01,21440274.8,NOK,2021-01-20,Active,False
T00042,C09871,P09581,12523867.38,18218226.57,NOK,2023-06-24,Default,False
T00043,C07829,P09857,13540170.82,12829933.78,NOK,2024-11-11,Default,True
T00044,C04220,P01337,42640317.61,15929705.43,USD,2022-09-25,Default,True
T00045,C00062,P07802,21548695.95,22649771.82,NOK,2025-01-21,Active,True
T00046,C04717,P04906,15572935.5,8914910.45,NOK,2022-04-11,Closed,False
T00047,C09612,P00975,38738371.21,22927093.5,NOK,2024-09-27,Active,True
T00048,C09414,P01025,22395662.08,19567125.31,EUR,2023-01-09,Default,False
T00049,C09908,P00662,29645813.12,15919661.77,EUR,2025-05-26,Default,True
T00050,C01826,P09857,43614050.67,22123500.54,NOK,2025-02-17,Active,True
T00051,C08796,P02099,18716457.38,15247233.29,NOK,2025-09-23,Closed,True
T00052,C06131,P06267,19081844.38,23194896.31,EUR,2024-04-11,Default,False
T00053,C03341,P05564,20647663.69,20840850.43,NOK,2024-10-22,Active,True
T00054,C09977,P03754,31602506.11,13616368.42,USD,2020-04-04,Active,False
T00055,C00311,P04766,37125983.0,22283668.12,USD,2020-04-12,Active,False
T00056,C00078,P03636,2693644.31,18791003.95,USD,2020-02-27,Default,False
T00057,C06229,P09742,5802836.37,22151310.49,EUR,2021-07-25,Active,False
T00058,C08972,P08991,3905525.73,4493838.65,EUR,2020-09-12,Closed,True
T00059,C08381,P03946,48748254.12,14190673.21,EUR,2022-08-30,Active,True
T00060,C05768,P08337,47165314.95,9261628.2,NOK,2022-07-12,Active,False
T00061,C06819,P07336,35250890.93,13331285.13,USD,2020-09-11,Closed,True
T00062,C03306,P04880,44452520.89,19232156.54,USD,2023-01-24,Active,True
T00063,C08032,P07318,44544646.18,23386512.3,USD,2020-10-22,Closed,False
T00064,C04539,P07773,44394466.73,6973705.98,NOK,2021-09-16,Closed,True
T00065,C05372,P02818,9863666.21,7710164.67,NOK,2020-07-30,Closed,True
T00066,C09824,P01100,33182563.06,2443755.15,NOK,2024-11-13,Default,False
T00067,C06045,P05275,48221930.04,16857866.81,USD,2022-12-09,Default,False
T00068,C08500,P01097,38000448.84,4672540.15,NOK,2021-09-30,Active,True
T00069,C09063,P04269,15626016.66,19339052.82,EUR,2021-08-31,Closed,False
T00070,C08339,P06486,16714537.84,11708891.16,USD,2023-03-05,Default,True
T00071,C06407,P07760,3497680.26,3938571.4,NOK,2022-03-13,Closed,True
T00072,C07493,P01348,31058631.0,22935955.57,USD,2020-03-09,Active,False
T00073,C00721,P09387,27610900.41,2118065.88,USD,2025-08-19,Default,False
T00074,C07934,P06247,25752611.18,4189979.19,USD,2021-11-23,Active,False
T00075,C08976,P06870,2062681.48,1728933.22,NOK,2021-05-04,Active,True
T00076,C04545,P06991,32783356.07,6909723.53,EUR,2021-05-13,Closed,False
T00077,C06277,P09211,30283652.79,17905031.2,USD,2020-12-24,Closed,True
T00078,C00357,P01172,24006591.45,21689605.41,USD,2025-01-25,Closed,True
T00079,C07179,P03796,36979293.02,7473960.43,USD,2024-12-03,Default,True
T00080,C04924,P00902,18914699.42,13680693.01,NOK,2021-06-04,Closed,False
T00081,C08759,P00434,7092170.5,5530053.21,USD,2024-10-21,Active,False
T00082,C05905,P03130,49596601.17,16986834.36,USD,2021-06-30,Default,False
T00083,C04832,P03727,6101774.43,751653.02,NOK,2022-08-12,Closed,True
T00084,C06049,P03602,9482160.89,16254672.26,NOK,2025-03-31,Active,True
T00085,C07525,P06229,21743185.66,11315440.96,EUR,2023-12-16,Default,True
T00086,C03700,P07969,5679913.64,17128208.65,USD,2022-11-25,Default,False
T00087,C09997,P01580,19316504.28,14653281.64,NOK,2022-12-13,Default,True
T00088,C08432,P05755,13656339.29,11458035.57,EUR,2025-10-24,Active,False
T00089,C08977,P07088,46873446.74,18766589.26,EUR,2024-06-29,Active,False
T00090,C03370,P04604,31553772.31,24374641.73,USD,2025-06-24,Default,True
T00091,C04963,P00995,17151781.39,19436834.23,NOK,2022-12-04,Active,False
T00092,C05410,P06389,1226884.54,2983670.81,NOK,2020-01-26,Default,True
T00093,C00809,P07784,31927925.7,15420668.49,USD,2025-04-09,Active,False
T00094,C08402,P02648,44043063.38,6322534.1,NOK,2023-11-04,Default,True
T00095,C07852,P00991,16004943.73,15999189.67,EUR,2021-09-28,Closed,False
T00096,C03483,P09410,33313110.59,17225146.95,NOK,2020-07-28,Default,True
T00097,C01811,P09612,38666108.66,21627332.18,USD,2021-07-20,Active,False
T00098,C04011,P07902,3136681.55,12276481.14,EUR,2023-02-05,Active,False
T00099,C08588,P00745,1167403.38,6247535.4,USD,2022-06-11,Closed,True
T00100,C09413,P00775,39030845.23,9652836.26,NOK,2024-06-02,Closed,False
T00101,C03704,P05904,18047280.56,4724820.16,USD,2025-04-26,Default,False
T00102,C08830,P04190,35666300.54,23949648.68,EUR,2021-10-29,Closed,True
T00103,C07715,P00696,25809513.6,8453374.28,USD,2024-10-30,Default,False
T00104,C01277,P01461,32898164.26,4227371.96,NOK,2025-08-16,Active,False
T00105,C05347,P03802,35870321.97,18260362.76,USD,2021-03-24,Closed,True
T00106,C01970,P03218,32151174.85,16905391.75,USD,2025-07-23,Active,False
T00107,C09985,P05935,42556422.57,14010135.32,EUR,2023-08-20,Closed,False
T00108,C02121,P02282,38257669.61,1603286.71,EUR,2023-12-23,Default,False
T00109,C07475,P08216,37681329.21,4693023.3,USD,2023-06-24,Active,False
T00110,C04248,P02455,31227863.09,1343056.13,USD,2024-08-01,Active,False
T00111,C07702,P02569,49408619.29,16248939.07,NOK,2024-06-21,Active,True
T00112,C01692,P08401,12261852.02,21116638.24,NOK,2023-04-19,Closed,True
T00113,C05418,P05875,19791946.2,22345219.36,NOK,2023-08-17,Closed,True
T00114,C02885,P09866,47921744.34,24730005.53,NOK,2022-03-12,Closed,True
T00115,C09071,P04081,16109549.18,14763564.12,EUR,2023-11-22,Closed,False
T00116,C03218,P00201,23122405.04,5816794.35,USD,2021-07-05,Closed,False
T00117,C08033,P02567,12692605.5,3301628.97,EUR,2020-05-04,Default,False
T00118,C09113,P07862,30572173.82,14424800.25,EUR,2020-01-02,Default,False
T00119,C03756,P00033,40093485.08,20756212.8,EUR,2024-05-02,Default,False
T00120,C04291,P09632,7730085.94,10299957.19,USD,2023-06-27,Default,False
T00121,C01102,P05841,11257093.03,9823861.41,EUR,2022-12-14,Default,True
T00122,C00055,P00465,10857734.65,21131092.94,USD,2021-09-28,Closed,False
T00123,C06864,P00983,17913091.74,23357820.74,NOK,2022-02-07,Default,False
T00124,C03301,P07194,7227253.9,5505909.25,EUR,2024-09-10,Active,False
T00125,C01466,P01741,7449647.83,16786811.02,USD,2023-01-02,Active,False
T00126,C07576,P08405,30244625.34,657345.24,USD,2023-01-12,Default,True
T00127,C08424,P09272,11656686.58,21972989.55,EUR,2024-05-02,Active,True
T00128,C00871,P04501,19416600.16,1026800.02,EUR,2022-08-10,Active,False
T00129,C01457,P03707,24836359.14,20363930.21,EUR,2020-01-16,Default,True
T00130,C06237,P02573,37116452.25,12779455.81,USD,2024-08-06,Default,False
T00131,C06123,P00157,47241289.65,4533209.53,USD,2023-03-17,Active,True
T00132,C02871,P01709,42783550.63,5908046.1,EUR,2024-01-04,Active,True
T00133,C03068,P02519,1254059.38,3184907.69,EUR,2024-12-21,Closed,False
T00134,C09193,P08916,6838770.15,8274585.45,EUR,2022-06-01,Active,True
T00135,C00846,P02406,35193246.08,11187176.9,USD,2020-09-04,Default,True
T00136,C01369,P03326,14180463.57,11541898.36,NOK,2025-02-17,Active,True
T00137,C03713,P01069,27494764.05,10249472.82,EUR,2020-01-26,Closed,False
T00138,C09292,P04523,12646549.36,8163636.82,NOK,2023-03-30,Default,False
T00139,C01482,P03365,9292142.18,13110829.0,USD,2024-08-27,Default,False
T00140,C06879,P06828,31213466.95,1213889.84,EUR,2020-12-26,Default,True
T00141,C01909,P02198,10915654.35,4425646.04,EUR,2020-12-07,Closed,False
T00142,C00261,P05807,15182746.46,1960182.35,NOK,2022-07-09,Active,True
T00143,C09505,P08961,43638995.12,22496638.94,USD,2022-02-20,Default,False
T00144,C07257,P08851,11464243.48,14296209.04,EUR,2023-12-31,Closed,False
T00145,C03883,P04408,3131633.41,23375643.0,USD,2022-04-14,Default,False
T00146,C08053,P01193,38788796.97,22613190.15,USD,2022-11-03,Closed,False
T00147,C02864,P05876,2521790.23,21354125.03,EUR,2020-06-08,Default,False
T00148,C02859,P00419,45788379.4,9046277.22,EUR,2025-09-28,Active,False
T00149,C03320,P08086,24012058.52,22567579.41,USD,2022-10-18,Closed,True
T00150,C07211,P07808,26266653.01,17433103.42,NOK,2020-06-21,Closed,True
T00151,C07045,P09418,12535967.81,9316319.87,EUR,2020-12-19,Active,False
T00152,C03834,P09004,14116831.86,11854697.99,EUR,2025-01-23,Active,True
T00153,C03156,P02842,36545515.55,2930388.64,USD,2024-08-24,Active,False
T00154,C06001,P06482,41590387.31,16382251.2,USD,2020-12-19,Active,True
T00155,C06058,P07797,4119907.6,13713298.18,NOK,2025-07-29,Closed,True
T00156,C06505,P06393,15121852.35,3641332.38,EUR,2020-11-25,Active,True
T00157,C07571,P09381,24686842.89,21362670.95,NOK,2024-11-13,Active,False
T00158,C04159,P05235,35142478.79,21550233.98,USD,2021-01-02,Closed,False
T00159,C07064,P08741,23626338.84,22890827.01,NOK,2024-09-22,Closed,False
T00160,C03561,P07053,5224682.08,9377017.38,USD,2023-04-28,Closed,True
T00161,C09075,P01537,14709941.7,1936345.16,NOK,2020-09-14,Default,True
T00162,C01116,P03031,39934555.02,17929992.71,NOK,2020-11-07,Default,False
T00163,C02866,P07180,26556215.45,10598744.47,NOK,2021-12-06,Default,False
T00164,C08464,P04361,31474217.02,18006598.99,USD,2021-05-29,Default,False
T00165,C07495,P01545,5781872.71,24497299.33,NOK,2022-10-01,Closed,True
T00166,C03763,P00326,21193018.68,18876075.27,USD,2024-01-14,Active,False
T00167,C04731,P06816,31598917.28,969952.28,NOK,2020-11-14,Default,False
T00168,C05613,P09422,37824723.35,14704448.38,EUR,2023-05-04,Default,False
T00169,C00757,P09244,15838232.36,12003796.31,NOK,2024-06-12,Closed,False
T00170,C01955,P04918,5178377.06,21854528.72,NOK,2024-10-03,Default,False
T00171,C00584,P05190,39535265.25,4588283.71,USD,2021-10-27,Default,False
T00172,C04800,P06567,15683010.84,5076086.49,EUR,2024-09-12,Closed,False
T00173,C04616,P06015,42837857.81,15336158.35,NOK,2022-04-18,Closed,True
T00174,C07838,P00063,43011230.97,21239915.48,EUR,2025-07-04,Default,False
T00175,C03674,P04374,9990575.55,10396085.05,EUR,2024-08-08,Closed,False
T00176,C09163,P02120,27075005.88,9866299.54,USD,2023-12-19,Closed,True
T00177,C03250,P05121,22020380.79,24837052.27,NOK,2025-09-25,Default,True
T00178,C04690,P06833,25643655.26,9601484.54,USD,2022-07-16,Closed,True
T00179,C01132,P03485,47326080.09,632318.21,EUR,2021-02-20,Closed,False
T00180,C08682,P04759,6231608.68,8002558.81,USD,2020-03-07,Default,False
T00181,C04742,P03918,36935927.5,5673616.28,EUR,2023-11-03,Closed,False
T00182,C03567,P02144,17364252.65,11130790.71,EUR,2025-04-10,Default,False
T00183,C02674,P07167,27611565.25,6426025.51,NOK,2024-09-16,Closed,False
T00184,C09481,P01707,25438356.66,20012234.91,USD,2020-05-27,Active,False
T00185,C08086,P07584,18160503.99,11308881.71,EUR,2023-07-17,Active,True
T00186,C08293,P06947,12869455.29,4744335.74,USD,2021-05-23,Default,True
T00187,C09924,P08401,47295545.66,9365117.18,USD,2022-07-14,Active,True
T00188,C02199,P04087,9016340.94,1416156.77,EUR,2020-11-14,Closed,True
T00189,C08951,P05882,2618104.47,10060164.8,NOK,2024-06-11,Closed,False
T00190,C08004,P09580,34508170.39,13683616.92,USD,2021-02-04,Closed,False
T00191,C05864,P00277,25934679.24,4427188.96,USD,2023-09-13,Active,False
T00192,C07237,P01962,31878811.95,20105992.62,NOK,2021-07-07,Default,True
T00193,C04462,P09955,19887266.23,17673310.14,USD,2024-03-16,Closed,True
T00194,C09102,P04380,6567314.99,19926635.1,NOK,2025-08-18,Active,True
T00195,C00242,P04792,39007171.06,2083841.08,NOK,2022-09-14,Active,True
T00196,C00409,P03370,42120164.18,17859474.21,NOK,2025-10-19,Default,True
T00197,C07673,P06459,38649876.76,15314744.35,NOK,2024-10-24,Active,True
T00198,C01216,P02747,45655159.54,13032519.82,EUR,2023-09-17,Closed,False
T00199,C01959,P02303,1716688.97,21286782.57,NOK,2020-09-19,Active,False
T00200,C00990,P04242,27365855.5,6144229.8,EUR,2021-10-06,Closed,False
T00201,C04453,P09960,19652241.39,7447113.75,USD,2023-12-10,Closed,True
T00202,C04832,P06236,8968652.38,16659547.97,EUR,2020-03-13,Active,False
T00203,C02996,P03857,4509383.36,4791173.53,USD,2025-08-14,Closed,False
T00204,C01573,P00037,47231866.79,24169450.39,NOK,2022-10-30,Default,False
T00205,C04900,P03940,16853808.07,19798425.57,EUR,2021-09-06,Closed,False
T00206,C00574,P06459,30785299.13,8472974.61,EUR,2022-03-01,Default,False
T00207,C09764,P09481,16573290.15,6413374.19,USD,2023-06-15,Active,True
T00208,C01716,P03097,39852371.55,13973062.7,USD,2025-08-19,Default,False
T00209,C06343,P04077,6504003.29,5654692.26,EUR,2022-07-27,Active,False
T00210,C09446,P01387,25980380.51,5619193.64,NOK,2024-08-31,Default,True
T00211,C05112,P07895,6974906.42,12906102.83,NOK,2025-01-23,Closed,False
T00212,C07029,P06044,43807524.93,23239167.57,NOK,2024-12-22,Closed,False
T00213,C04587,P07818,34235015.05,9135756.72,NOK,2022-10-18,Active,True
T00214,C01474,P06064,28546246.95,17699141.67,EUR,2023-03-31,Active,False
T00215,C06201,P03464,7743603.44,9279334.07,EUR,2020-08-21,Default,True
T00216,C07156,P08866,20135433.23,7116564.57,NOK,2024-01-05,Active,False
T00217,C07839,P06666,26813331.8,15958391.42,NOK,2022-02-01,Default,False
T00218,C09413,P05091,49096866.92,2859722.11,USD,2020-06-21,Active,True
T00219,C03036,P06145,39005126.28,11467251.36,USD,2023-06-11,Active,True
T00220,C00188,P04010,5276897.69,10227952.76,NOK,2022-10-23,Closed,True
T00221,C01106,P00860,21348282.28,1090741.37,NOK,2020-11-12,Active,True
T00222,C02711,P06858,15649938.42,11057217.21,USD,2024-11-29,Closed,True
T00223,C01553,P08335,37619766.7,4804037.81,EUR,2022-01-10,Closed,False
T00224,C00062,P03378,34959867.83,7068279.95,USD,2024-06-28,Active,True
T00225,C06811,P07204,46069275.94,3021207.92,EUR,2024-01-07,Closed,False
T00226,C01105,P07854,27812018.51,20138972.76,NOK,2021-08-01,Active,False
T00227,C09157,P00988,37902967.15,20878905.02,NOK,2025-09-16,Active,False
T00228,C00052,P06006,25648648.0,1269229.83,EUR,2020-04-04,Active,True
T00229,C06614,P08396,7263438.83,10810753.61,EUR,2020-08-09,Default,True
T00230,C02449,P08333,38192779.98,8945621.66,USD,2025-07-15,Closed,False
T00231,C05153,P01019,4772584.58,22537956.31,NOK,2022-04-16,Default,True
T00232,C05603,P08971,41678567.49,23324948.79,NOK,2022-11-11,Closed,False
T00233,C05317,P09415,42255931.79,22638655.25,EUR,2023-06-21,Closed,False
T00234,C05648,P01655,40413883.19,13295024.69,EUR,2022-11-29,Closed,False
T00235,C03989,P04638,26118746.18,11109855.41,NOK,2024-05-07,Closed,False
T00236,C02615,P06556,32039600.83,24778121.61,EUR,2023-03-31,Closed,False
T00237,C04295,P05575,5460919.41,13069320.93,EUR,2020-10-09,Closed,False
T00238,C02569,P01490,41333642.16,1859905.33,EUR,2020-12-20,Default,True
T00239,C02824,P00660,14461893.89,18000022.35,USD,2020-06-06,Active,True
T00240,C00278,P04649,47423579.6,24967287.16,USD,2025-09-24,Closed,True
T00241,C02977,P00735,12938186.07,20427768.54,USD,2024-06-19,Closed,False
T00242,C04332,P09216,13945352.23,1823806.5,NOK,2020-08-03,Active,True
T00243,C08482,P00429,42746879.2,16942567.99,USD,2023-03-17,Closed,True
T00244,C03365,P02896,3848580.89,15144000.14,NOK,2020-06-12,Active,False
T00245,C01161,P04741,27914866.87,13326121.44,EUR,2024-11-26,Default,False
T00246,C09201,P02041,29000212.22,3111639.88,EUR,2025-05-21,Active,False
T00247,C03948,P01256,23853555.49,4982874.43,NOK,2023-12-29,Closed,False
T00248,C02707,P06719,18037081.0,13131946.01,EUR,2022-05-27,Closed,False
T00249,C06759,P05678,17255375.6,22835495.13,NOK,2020-05-23,Default,False
T00250,C02524,P07686,23612476.45,13981468.31,NOK,2021-06-27,Active,True
T00251,C00240,P00688,20311410.1,9277981.04,USD,2024-07-16,Closed,False
T00252,C07115,P08819,26366880.39,10318993.63,NOK,2021-07-30,Closed,False
T00253,C05810,P07527,38857597.42,5818179.13,EUR,2022-01-12,Closed,False
T00254,C09797,P03342,38010401.22,9967522.55,EUR,2020-05-07,Active,False
T00255,C09084,P02194,39117447.88,1949069.67,EUR,2022-08-16,Closed,False
T00256,C03814,P06110,43440431.39,1656339.55,USD,2021-09-14,Default,False
T00257,C02815,P05114,43300238.68,16924637.17,EUR,2023-11-06,Closed,True
T00258,C00974,P08995,9249234.61,21038727.49,USD,2020-11-17,Default,False
T00259,C05249,P01756,32340749.46,2252677.67,NOK,2025-07-22,Closed,False
T00260,C06368,P06909,47107249.32,1017109.69,EUR,2020-04-17,Active,True
T00261,C06153,P04508,27600309.84,6420046.18,USD,2023-08-24,Default,True
T00262,C00878,P07357,7877464.94,17097503.97,NOK,2022-07-31,Default,True
T00263,C03586,P07217,39754921.41,22088961.79,EUR,2025-03-31,Closed,False
T00264,C03211,P02144,27103680.38,22970206.47,USD,2022-01-15,Active,True
T00265,C07850,P03390,17681991.99,18221710.05,USD,2020-03-14,Default,False
T00266,C07287,P02770,26998154.21,731409.65,USD,2023-01-15,Active,False
T00267,C00457,P00456,46813705.07,5600837.46,USD,2023-05-24,Default,True
T00268,C06210,P00304,22711301.08,4289411.6,USD,2021-03-06,Active,True
T00269,C06388,P03142,48512028.49,10465844.43,USD,2024-06-22,Closed,True
T00270,C00683,P02592,39361968.5,24001413.51,NOK,2025-08-18,Default,True
T00271,C07603,P02649,45402283.36,24587029.44,NOK,2023-08-19,Active,False
T00272,C06713,P03565,45654426.05,4889653.27,NOK,2024-05-18,Closed,False
T00273,C01343,P04570,5978763.61,23495678.27,NOK,2024-04-30,Closed,False
T00274,C02480,P03953,7414850.53,503425.74,USD,2023-08-16,Default,False
T00275,C08729,P05958,11327483.63,9365910.39,USD,2022-03-18,Closed,True
T00276,C05816,P02106,48733340.69,2546385.64,USD,2021-05-04,Closed,False
T00277,C06768,P08155,47551360.82,23614185.34,USD,2025-06-08,Closed,True
T00278,C04465,P05181,10457972.48,13677880.82,EUR,2025-07-27,Default,True
T00279,C03729,P01745,11284880.91,23529643.73,NOK,2022-09-22,Default,True
T00280,C01559,P03355,8602348.37,24215027.81,EUR,2022-09-30,Default,False
T00281,C06567,P08818,38109622.5,9269449.84,USD,2023-01-12,Default,True
T00282,C09223,P06058,16013745.58,14100655.72,EUR,2024-06-24,Active,False
T00283,C06865,P08205,42198102.17,22955017.21,USD,2024-06-27,Closed,True
T00284,C08295,P05353,18723984.31,6701211.69,NOK,2023-07-19,Default,False
T00285,C03482,P02574,20643793.08,24684073.55,USD,2024-06-02,Default,False
T00286,C02952,P01715,5174392.95,10653883.17,USD,2023-06-27,Default,False
T00287,C06114,P09578,10344804.0,15861862.93,NOK,2020-08-16,Default,False
T00288,C02074,P00301,29686323.14,4725300.58,USD,2022-11-27,Closed,False
T00289,C09299,P05359,21372324.73,15596884.41,NOK,2024-10-03,Default,False
T00290,C03005,P07952,15908623.46,23438690.52,NOK,2021-05-01,Default,True
T00291,C09595,P01957,43885101.71,24011309.57,NOK,2022-08-16,Closed,True
T00292,C07217,P06624,38967886.21,3483928.57,USD,2024-11-23,Default,False
T00293,C07782,P04766,22345981.13,20095993.46,NOK,2025-05-30,Closed,True
T00294,C06242,P00284,31438111.02,20266032.85,NOK,2025-06-10,Closed,False
T00295,C09355,P09966,10026318.3,2481234.9,USD,2022-06-13,Default,False
T00296,C09965,P03215,28604469.25,7687879.91,EUR,2020-11-12,Default,False
T00297,C07478,P08735,9418184.19,12388573.37,EUR,2024-06-14,Closed,True
T00298,C01802,P01975,22124119.34,19900638.04,EUR,2024-07-28,Closed,False
T00299,C00795,P07576,2743642.3,10634709.17,NOK,2020-07-30,Default,False
T00300,C04157,P05886,34200518.09,19619259.6,EUR,2022-02-15,Active,True
T00301,C00244,P06498,6761703.28,13893011.0,USD,2023-08-12,Default,True
T00302,C09715,P00033,25766463.42,24551738.78,NOK,2023-12-12,Closed,True
T00303,C05392,P08123,33276016.26,2126612.0,NOK,2021-05-18,Closed,False
T00304,C05638,P08320,34239973.83,1691901.31,EUR,2023-07-01,Closed,True
T00305,C01243,P00061,49729428.65,4143523.5,EUR,2023-11-20,Default,False
T00306,C07810,P05525,27212900.78,20966198.38,USD,2022-12-20,Closed,True
T00307,C04422,P08816,46932293.68,10863001.76,NOK,2021-07-06,Default,False
T00308,C01515,P05575,9712095.09,24871338.39,NOK,2022-05-17,Active,True
T00309,C05105,P05566,9013076.95,22572113.84,USD,2021-02-24,Closed,False
T00310,C08134,P03400,27399321.41,23616412.96,USD,2021-11-12,Default,True
T00311,C07666,P04493,23153674.99,24202985.72,NOK,2024-11-20,Closed,False
T00312,C03926,P06511,29768869.35,14577786.11,NOK,2025-04-27,Active,False
T00313,C06254,P01680,29973383.64,17973120.27,EUR,2021-11-05,Default,True
T00314,C01711,P08512,22455590.87,16509946.24,USD,2021-09-10,Active,True
T00315,C01455,P09250,42764703.78,5553028.38,USD,2024-05-16,Default,False
T00316,C06630,P06042,3665082.64,6715757.63,EUR,2021-02-14,Active,True
T00317,C00862,P08151,44578872.37,8224036.3,USD,2020-11-19,Default,True
T00318,C03328,P00935,24276846.7,21425642.48,USD,2023-09-26,Active,False
T00319,C02204,P06626,15895091.7,5601622.04,USD,2022-02-20,Default,False
T00320,C06905,P03198,16557127.93,23465626.01,NOK,2020-01-01,Default,True
T00321,C00270,P02519,31968343.25,9859184.02,NOK,2024-03-29,Active,False
T00322,C08128,P00653,11158071.81,13798388.7,NOK,2021-08-16,Closed,True
T00323,C01970,P02406,41183573.51,22553527.58,USD,2022-12-18,Default,False
T00324,C01049,P04975,46715460.01,8762886.27,EUR,2024-11-23,Default,False
T00325,C02773,P08103,31792616.11,22985988.4,EUR,2023-06-18,Closed,True
T00326,C08327,P07156,9365229.6,11334250.85,EUR,2024-11-07,Default,False
T00327,C07354,P02345,47720403.51,24063980.13,USD,2020-02-14,Closed,False
T00328,C02559,P07183,19505530.34,19440055.43,USD,2024-01-03,Active,True
T00329,C03031,P03465,28614215.21,18081170.06,NOK,2023-05-19,Default,False
T00330,C09862,P08886,44628453.09,18522425.21,EUR,2023-07-08,Closed,False
T00331,C06691,P05353,21209487.58,22492081.8,NOK,2025-09-18,Closed,True
T00332,C05845,P09515,45552126.44,829091.68,NOK,2020-03-15,Active,True
T00333,C04890,P07619,13152975.06,7175812.26,USD,2020-10-17,Default,True
T00334,C05292,P00106,19689566.57,1831265.83,EUR,2023-12-26,Active,True
T00335,C06621,P09093,24033132.05,10378570.02,NOK,2020-07-17,Closed,True
T00336,C06503,P00469,8208713.0,22648606.97,NOK,2025-04-06,Closed,False
T00337,C01703,P01065,46778133.72,17074431.46,NOK,2022-08-16,Default,True
T00338,C02022,P01617,24322264.04,16517078.97,EUR,2023-11-11,Active,False
T00339,C07396,P01739,35236545.3,8939630.03,USD,2025-06-25,Active,False
T00340,C04429,P08382,25423634.4,18317099.94,NOK,2025-02-16,Closed,False
T00341,C00370,P01741,39617815.44,15729218.52,EUR,2020-04-14,Default,False
T00342,C04309,P08862,1423576.2,7936265.59,NOK,2025-05-20,Active,False
T00343,C02070,P07749,5641759.92,24239560.79,NOK,2023-04-09,Closed,True
T00344,C01767,P06823,3120741.12,22015253.25,EUR,2022-01-21,Active,True
T00345,C03936,P01849,1622042.63,10529999.3,EUR,2023-06-09,Active,False
T00346,C00001,P03307,16936204.66,16635076.87,NOK,2024-10-15,Default,True
T00347,C02684,P03600,21852867.72,10974410.09,NOK,2021-08-27,Closed,True
