project_id,name,category,green_certified
P00137,Hydro Power Expansion,Energy,True
P00138,Fertilizer Plant Upgrade,Chemicals,False
P00139,Defense System Export to Poland,Defense,False
P00140,Industrial Robotics Export,Technology,False
P00141,Industrial Robotics Export,Technology,False
P00142,Fertilizer Plant Upgrade,Chemicals,False
P00143,Electric Maritime Vessel,Maritime,True
P00144,Carbon Capture Installation,Energy,True
P00145,Smart Grid Installation,Energy,True
P00146,Automated Quality Inspection,Certification,False
P00147,Defense System Export to Poland,Defense,False
P00148,Industrial Robotics Export,Technology,False
P00149,Fertilizer Plant Upgrade,Chemicals,False
P00150,Industrial Robotics Export,Technology,False
P00151,Hydro Power Expansion,Energy,True
P00152,Industrial Robotics Export,Technology,False
P00153,Carbon Capture Installation,Energy,True
P00154,Carbon Capture Installation,Energy,True
P00155,Electric Maritime Vessel,Maritime,True
P00156,Offshore Wind Turbine Delivery,Renewable Energy,True
P00157,Automated Quality Inspection,Certification,False
P00158,Smart Grid Installation,Energy,True
P00159,Smart Grid Installation,Energy,True
P00160,Defense System Export to Poland,Defense,False
P00161,Industrial Robotics Export,Technology,False
P00162,Industrial Robotics Export,Technology,False
P00163,Industrial Robotics Export,Technology,False
P00164,Offshore Wind Turbine Delivery,Renewable Energy,True
P00165,Defense System Export to Poland,Defense,False
P00166,Automated Quality Inspection,Certification,False
P00167,Electric Maritime Vessel,Maritime,True
P00168,Industrial Robotics Export,Technology,False
P00169,Automated Quality Inspection,Certification,False
P00170,Carbon Capture Installation,Energy,True
P00171,Green Steel Plant,Metals,True
P00172,Defense System Export to Poland,Defense,False
P00173,Industrial Robotics Export,Technology,False
P00174,Hydro Power Expansion,Energy,True
P00175,Industrial Robotics Export,Technology,False
P00176,Offshore Wind Turbine Delivery,Renewable Energy,True
P00177,Hydro Power Expansion,Energy,True
P00178,Offshore Wind Turbine Delivery,Renewable Energy,True
P00179,Fertilizer Plant Upgrade,Chemicals,False
P00180,Offshore Wind Turbine Delivery,Renewable Energy,True
P00181,Hydro Power Expansion,Energy,True
P00182,Smart Grid Installation,Energy,True
P00183,Industrial Robotics Export,Technology,False
P00184,Defense System Export to Poland,Defense,False
P00185,Automated Quality Inspection,Certification,False
P00186,Hydro Power Expansion,Energy,True
P00187,Electric Maritime Vessel,Maritime,True
P00188,Electric Maritime Vessel,Maritime,True
P00189,Green Steel Plant,Metals,True
P00190,Industrial Robotics Export,Technology,False
P00191,Electric Maritime Vessel,Maritime,True
P00192,Automated Quality Inspection,Certification,False
P00193,Smart Grid Installation,Energy,True
P00194,Automated Quality Inspection,Certification,False
P00195,Industrial Robotics Export,Technology,False
P00196,Green Steel Plant,Metals,True
P00197,Electric Maritime Vessel,Maritime,True
P00198,Hydro Power Expansion,Energy,True
P00199,Defense System Export to Poland,Defense,False
P00200,Defense System Export to Poland,Defense,False
P00201,Fertilizer Plant Upgrade,Chemicals,False
P00202,Hydro Power Expansion,Energy,True
P00203,Automated Quality Inspection,Certification,False
P00204,Defense System Export to Poland,Defense,False
P00205,Industrial Robotics Export,Technology,False
P00206,Automated Quality Inspection,Certification,False
P00207,Green Steel Plant,Metals,True
P00208,Carbon Capture Installation,Energy,True
P00209,Hydro Power Expansion,Energy,True
P00210,Industrial Robotics Export,Technology,False
P00211,Automated Quality Inspection,Certification,False
P00212,Green Steel Plant,Metals,True
P00213,Automated Quality Inspection,Certification,False
P00214,Fertilizer Plant Upgrade,Chemicals,False
P00215,Hydro Power Expansion,Energy,True
P00216,Automated Quality Inspection,Certification,False
P00217,Electric Maritime Vessel,Maritime,True
P00218,Industrial Robotics Export,Technology,False
P00219,Smart Grid Installation,Energy,True
P00220,Industrial Robotics Export,Technology,False
P00221,Automated Quality Inspection,Certification,False
P00222,Offshore Wind Turbine Delivery,Renewable Energy,True
P00223,Electric Maritime Vessel,Maritime,True
P00224,Carbon Capture Installation,Energy,True
P00225,Fertilizer Plant Upgrade,Chemicals,False
P00226,Green Steel Plant,Metals,True
P00227,Electric Maritime Vessel,Maritime,True
P00228,Hydro Power Expansion,Energy,True
P00229,Offshore Wind Turbine Delivery,Renewable Energy,True
P00230,Green Steel Plant,Metals,True
P00231,Smart Grid Installation,Energy,True
P00232,Smart Grid Installation,Energy,True
P00233,Hydro Power Expansion,Energy,True
P00234,Defense System Export to Poland,Defense,False
P00235,Carbon Capture Installation,Energy,True
P00236,Hydro Power Expansion,Energy,True
P00237,Smart Grid Installation,Energy,True
P00238,Carbon Capture Installation,Energy,True
P00239,Defense System Export to Poland,Defense,False
P00240,Offshore Wind Turbine Delivery,Renewable Energy,True
P00241,Smart Grid Installation,Energy,True
P00242,Electric Maritime Vessel,Maritime,True
P00243,Defense System Export to Poland,Defense,False
P00244,Industrial Robotics Export,Technology,False
P00245,Hydro Power Expansion,Energy,True
P00246,Hydro Power Expansion,Energy,True
P00247,Offshore Wind Turbine Delivery,Renewable Energy,True
P00248,Electric Maritime Vessel,Maritime,True
P00249,Green Steel Plant,Metals,True
P00250,Industrial Robotics Export,Technology,False
P00251,Offshore Wind Turbine Delivery,Renewable Energy,True
P00252,Automated Quality Inspection,Certification,False
P00253,Defense System Export to Poland,Defense,False
P00254,Fertilizer Plant Upgrade,Chemicals,False
P00255,Smart Grid Installation,Energy,True
P00256,Smart Grid Installation,Energy,True
P00257,Offshore Wind Turbine Delivery,Renewable Energy,True
P00258,Defense System Export to Poland,Defense,False
P00259,Automated Quality Inspection,Certification,False
P00260,Electric Maritime Vessel,Maritime,True
P00261,Industrial Robotics Export,Technology,False
P00262,Fertilizer Plant Upgrade,Chemicals,False
P00263,Industrial Robotics Export,Technology,False
P00264,Green Steel Plant,Metals,True
P00265,Carbon Capture Installation,Energy,True
P00266,Carbon Capture Installation,Energy,True
P00267,Industrial Robotics Export,Technology,False
P00268,Electric Maritime Vessel,Maritime,True
P00269,Defense System Export to Poland,Defense,False
P00270,Carbon Capture Installation,Energy,True
P00271,Fertilizer Plant Upgrade,Chemicals,False
P00272,Industrial Robotics Export,Technology,False
P00273,Fertilizer Plant Upgrade,Chemicals,False
P00274,Electric Maritime Vessel,Maritime,True
P00275,Carbon Capture Installation,Energy,True
P00276,Automated Quality Inspection,Certification,False
P00277,Electric Maritime Vessel,Maritime,True
P00278,Smart Grid Installation,Energy,True
P00279,Offshore Wind Turbine Delivery,Renewable Energy,True
P00280,Carbon Capture Installation,Energy,True
P00281,Defense System Export to Poland,Defense,False
P00282,Carbon Capture Installation,Energy,True
P00283,Offshore Wind Turbine Delivery,Renewable Energy,True
P00284,Electric Maritime Vessel,Maritime,True
P00285,Defense System Export to Poland,Defense,False
P00286,Green Steel Plant,Metals,True
P00287,Smart Grid Installation,Energy,True
P00288,Green Steel Plant,Metals,True
P00289,Smart Grid Installation,Energy,True
P00290,Carbon Capture Installation,Energy,True
P00291,Fertilizer Plant Upgrade,Chemicals,False
P00292,Electric Maritime Vessel,Maritime,True
P00293,Offshore Wind Turbine Delivery,Renewable Energy,True
P00294,Fertilizer Plant Upgrade,Chemicals,False
P00295,Defense System Export to Poland,Defense,False
P00296,Fertilizer Plant Upgrade,Chemicals,False
P00297,Automated Quality Inspection,Certification,False
P00298,Smart Grid Installation,Energy,True
P00299,Carbon Capture Installation,Energy,True
P00300,Industrial Robotics Export,Technology,False
P00301,Electric Maritime Vessel,Maritime,True
P00302,Electric Maritime Vessel,Maritime,True
P00303,Fertilizer Plant Upgrade,Chemicals,False
P00304,Green Steel Plant,Metals,True
P00305,Offshore Wind Turbine Delivery,Renewable Energy,True
P00306,Offshore Wind Turbine Delivery,Renewable Energy,True
P00307,Carbon Capture Installation,Energy,True
P00308,Green Steel Plant,Metals,True
P00309,Fertilizer Plant Upgrade,Chemicals,False
P00310,Offshore Wind Turbine Delivery,Renewable Energy,True
P00311,Defense System Export to Poland,Defense,False
P00312,Electric Maritime Vessel,Maritime,True
P00313,Automated Quality Inspection,Certification,False
P00314,Green Steel Plant,Metals,True
P00315,Hydro Power Expansion,Energy,True
P00316,Smart Grid Installation,Energy,True
P00317,Automated Quality Inspection,Certification,False
P00318,Electric Maritime Vessel,Maritime,True
P00319,Hydro Power Expansion,Energy,True
P00320,Offshore Wind Turbine Delivery,Renewable Energy,True
P00321,Offshore Wind Turbine Delivery,Renewable Energy,True
P00322,Offshore Wind Turbine Delivery,Renewable Energy,True
P00323,Fertilizer Plant Upgrade,Chemicals,False
P00324,Hydro Power Expansion,Energy,True
P00325,Industrial Robotics Export,Technology,False
P00326,Fertilizer Plant Upgrade,Chemicals,False
P00327,Defense System Export to Poland,Defense,False
P00328,Smart Grid Installation,Energy,True
P00329,Green Steel Plant,Metals,True
P00330,Electric Maritime Vessel,Maritime,True
P00331,Electric Maritime Vessel,Maritime,True
P00332,Smart Grid Installation,Energy,True
P00333,Smart Grid Installation,Energy,True
P00334,Industrial Robotics Export,Technology,False
P00335,Carbon Capture Installation,Energy,True
P00336,Carbon Capture Installation,Energy,True
P00337,Carbon Capture Installation,Energy,True
P00338,Industrial Robotics Export,Technology,False
P00339,Automated Quality Inspection,Certification,False
P00340,Offshore Wind Turbine Delivery,Renewable Energy,True
P00341,Defense System Export to Poland,Defense,False
P00342,Smart Grid Installation,Energy,True
P00343,Electric Maritime Vessel,Maritime,True
P00344,Smart Grid Installation,Energy,True
P00345,Hydro Power Expansion,Energy,True
P00346,Electric Maritime Vessel,Maritime,True
P00347,Green Steel Plant,Metals,True
P00348,Carbon Capture Installation,Energy,True
P00349,Hydro Power Expansion,Energy,True
P00350,Automated Quality Inspection,Certification,False
P00351,Automated Quality Inspection,Certification,False
P00352,Carbon Capture Installation,Energy,True
P00353,Automated Quality Inspection,Certification,False
P00354,Hydro Power Expansion,Energy,True
P00355,Industrial Robotics Export,Technology,False
P00356,Electric Maritime Vessel,Maritime,True
P00357,Automated Quality Inspection,Certification,False
P00358,Automated Quality Inspection,Certification,False
P00359,Smart Grid Installation,Energy,True
P00360,Green Steel Plant,Metals,True
P00361,Electric Maritime Vessel,Maritime,True
P00362,Electric Maritime Vessel,Maritime,True
P00363,Green Steel Plant,Metals,True
P00364,Industrial Robotics Export,Technology,False
P00365,Green Steel Plant,Metals,True
P00366,Electric Maritime Vessel,Maritime,True
P00367,Smart Grid Installation,Energy,True
P00368,Smart Grid Installation,Energy,True
P00369,Offshore Wind Turbine Delivery,Renewable Energy,True
P00370,Hydro Power Expansion,Energy,True
P00371,Automated Quality Inspection,Certification,False
P00372,Industrial Robotics Export,Technology,False
P00373,Defense System Export to Poland,Defense,False
P00374,Automated Quality Inspection,Certification,False
P00375,Fertilizer Plant Upgrade,Chemicals,False
P00376,Green Steel Plant,Metals,True
P00377,Industrial Robotics Export,Technology,False
P00378,Automated Quality Inspection,Certification,False
P00379,Automated Quality Inspection,Certification,False
P00380,Industrial Robotics Export,Technology,False
P00381,Hydro Power Expansion,Energy,True
P00382,Hydro Power Expansion,Energy,True
P00383,Carbon Capture Installation,Energy,True
P00384,Automated Quality Inspection,Certification,False
P00385,Defense System Export to Poland,Defense,False
P00386,Hydro Power Expansion,Energy,True
P00387,Smart Grid Installation,Energy,True
P00388,Electric Maritime Vessel,Maritime,True
P00389,Fertilizer Plant Upgrade,Chemicals,False
P00390,Defense System Export to Poland,Defense,False
P00391,Carbon Capture Installation,Energy,True
P00392,Fertilizer Plant Upgrade,Chemicals,False
P00393,Hydro Power Expansion,Energy,True
P00394,Hydro Power Expansion,Energy,True
P00395,Hydro Power Expansion,Energy,True
P00396,Green Steel Plant,Metals,True
P00397,Green Steel Plant,Metals,True
P00398,Automated Quality Inspection,Certification,False
P00399,Industrial Robotics Export,Technology,False
P00400,Electric Maritime Vessel,Maritime,True
P00401,Defense System Export to Poland,Defense,False
P00402,Electric Maritime Vessel,Maritime,True
P00403,Electric Maritime Vessel,Maritime,True
P00404,Defense System Export to Poland,Defense,False
P00405,Fertilizer Plant Upgrade,Chemicals,False
P00406,Green Steel Plant,Metals,True
P00407,Electric Maritime Vessel,Maritime,True
P00408,Automated Quality Inspection,Certification,False
P00409,Smart Grid Installation,Energy,True
P00410,Smart Grid Installation,Energy,True
P00411,Green Steel Plant,Metals,True
P00412,Automated Quality Inspection,Certification,False
P00413,Automated Quality Inspection,Certification,False
P00414,Industrial Robotics Export,Technology,False
P00415,Automated Quality Inspection,Certification,False
P00416,Hydro Power Expansion,Energy,True
P00417,Smart Grid Installation,Energy,True
P00418,Electric Maritime Vessel,Maritime,True
P00419,Hydro Power Expansion,Energy,True
P00420,Carbon Capture Installation,Energy,True
P00421,Industrial Robotics Export,Technology,False
P00422,Fertilizer Plant Upgrade,Chemicals,False
P00423,Carbon Capture Installation,Energy,True
P00424,Defense System Export to Poland,Defense,False
P00425,Fertilizer Plant Upgrade,Chemicals,False
P00426,Fertilizer Plant Upgrade,Chemicals,False
P00427,Green Steel Plant,Metals,True
P00428,Offshore Wind Turbine Delivery,Renewable Energy,True
P00429,Electric Maritime Vessel,Maritime,True
P00430,Carbon Capture Installation,Energy,True
P00431,Automated Quality Inspection,Certification,False
P00432,Industrial Robotics Export,Technology,False
P00433,Carbon Capture Installation,Energy,True
P00434,Defense System Export to Poland,Defense,False
P00435,Fertilizer Plant Upgrade,Chemicals,False
P00436,Defense System Export to Poland,Defense,False
P00437,Fertilizer Plant Upgrade,Chemicals,False
P00438,Industrial Robotics Export,Technology,False
P00439,Fertilizer Plant Upgrade,Chemicals,False
P00440,Industrial Robotics Export,Technology,False
P00441,Electric Maritime Vessel,Maritime,True
P00442,Automated Quality Inspection,Certification,False
P00443,Green Steel Plant,Metals,True
P00444,Electric Maritime Vessel,Maritime,True
P00445,Green Steel Plant,Metals,True
P00446,Defense System Export to Poland,Defense,False
P00447,Carbon Capture Installation,Energy,True
P00448,Smart Grid Installation,Energy,True
P00449,Green Steel Plant,Metals,True
P00450,Green Steel Plant,Metals,True
P00451,Automated Quality Inspection,Certification,False
P00452,Smart Grid Installation,Energy,True
P00453,Automated Quality Inspection,Certification,False
P00454,Smart Grid Installation,Energy,True
P00455,Hydro Power Expansion,Energy,True
P00456,Green Steel Plant,Metals,True
P00457,Hydro Power Expansion,Energy,True
P00458,Offshore Wind Turbine Delivery,Renewable Energy,True
P00459,Automated Quality Inspection,Certification,False
P00460,Green Steel Plant,Metals,True
P00461,Industrial Robotics Export,Technology,False
P00462,Carbon Capture Installation,Energy,True
P00463,Defense System Export to Poland,Defense,False
P00464,Offshore Wind Turbine Delivery,Renewable Energy,True
P00465,Green Steel Plant,Metals,True
P00466,Smart Grid Installation,Energy,True
P00467,Fertilizer Plant Upgrade,Chemicals,False
P00468,Smart Grid Installation,Energy,True
P00469,Defense System Export to Poland,Defense,False
P00470,Hydro Power Expansion,Energy,True
P00471,Industrial Robotics Export,Technology,False
P00472,Carbon Capture Installation,Energy,True
P00473,Automated Quality Inspection,Certification,False
P00474,Smart Grid Installation,Energy,True
P00475,Fertilizer Plant Upgrade,Chemicals,False
P00476,Carbon Capture Installation,Energy,True
P00477,Green Steel Plant,Metals,True
P00478,Smart Grid Installation,Energy,True
P00479,Automated Quality Inspection,Certification,False
P00480,Industrial Robotics Export,Technology,False
P00481,Electric Maritime Vessel,Maritime,True
P00482,Offshore Wind Turbine Delivery,Renewable Energy,True
P00483,Hydro Power Expansion,Energy,True
P00484,Defense System Export to Poland,Defense,False
P00485,Carbon Capture Installation,Energy,True
P00486,Smart Grid Installation,Energy,True
P00487,Green Steel Plant,Metals,True
P00488,Carbon Capture Installation,Energy,True
P00489,Green Steel Plant,Metals,True
P00490,Offshore Wind Turbine Delivery,Renewable Energy,True
P00491,Defense System Export to Poland,Defense,False
P00492,Carbon Capture Installation,Energy,True
P00493,Carbon Capture Installation,Energy,True
P00494,Defense System Export to Poland,Defense,False
P00495,Carbon Capture Installation,Energy,True
P00496,Industrial Robotics Export,Technology,False
P00497,Defense System Export to Poland,Defense,False
P00498,Automated Quality Inspection,Certification,False
P00499,Automated Quality Inspection,Certification,False
P00500,Smart Grid Installation,Energy,True
P00501,Carbon Capture Installation,Energy,True
P00502,Green Steel Plant,Metals,True
P00503,Industrial Robotics Export,Technology,False
P00504,Carbon Capture Installation,Energy,True
P00505,Smart Grid Installation,Energy,True
P00506,Fertilizer Plant Upgrade,Chemicals,False
P00507,Hydro Power Expansion,Energy,True
P00508,Electric Maritime Vessel,Maritime,True
P00509,Industrial Robotics Export,Technology,False
P00510,Hydro Power Expansion,Energy,True
P00511,Industrial Robotics Export,Technology,False
P00512,Industrial Robotics Export,Technology,False
P00513,Electric Maritime Vessel,Maritime,True
P00514,Offshore Wind Turbine Delivery,Renewable Energy,True
P00515,Defense System Export to Poland,Defense,False
P00516,Fertilizer Plant Upgrade,Chemicals,False
P00517,Defense System Export to Poland,Defense,False
P00518,Industrial Robotics Export,Technology,False
P00519,Fertilizer Plant Upgrade,Chemicals,False
P00520,Carbon Capture Installation,Energy,True
P00521,Carbon Capture Installation,Energy,True
P00522,Carbon Capture Installation,Energy,True
P00523,Offshore Wind Turbine Delivery,Renewable Energy,True
P00524,Green Steel Plant,Metals,True
P00525,Hydro Power Expansion,Energy,True
P00526,Green Steel Plant,Metals,True
P00527,Fertilizer Plant Upgrade,Chemicals,False
P00528,Carbon Capture Installation,Energy,True
P00529,Carbon Capture Installation,Energy,True
P00530,Fertilizer Plant Upgrade,Chemicals,False
P00531,Fertilizer Plant Upgrade,Chemicals,False
P00532,Automated Quality Inspection,Certification,False
P00533,Offshore Wind Turbine Delivery,Renewable Energy,True
P00534,Carbon Capture Installation,Energy,True
P00535,Hydro Power Expansion,Energy,True
P00536,Fertilizer Plant Upgrade,Chemicals,False
P00537,Automated Quality Inspection,Certification,False
P00538,Fertilizer Plant Upgrade,Chemicals,False
P00539,Carbon Capture Installation,Energy,True
P00540,Hydro Power Expansion,Energy,True
P00541,Smart Grid Installation,Energy,True
P00542,Offshore Wind Turbine Delivery,Renewable Energy,True
P00543,Electric Maritime Vessel,Maritime,True
P00544,Green Steel Plant,Metals,True
P00545,Carbon Capture Installation,Energy,True
P00546,Green Steel Plant,Metals,True
P00547,Offshore Wind Turbine Delivery,Renewable Energy,True
P00548,Offshore Wind Turbine Delivery,Renewable Energy,True
P00549,Hydro Power Expansion,Energy,True
P00550,Hydro Power Expansion,Energy,True
P00551,Carbon Capture Installation,Energy,True
P00552,Automated Quality Inspection,Certification,False
P00553,Offshore Wind Turbine Delivery,Renewable Energy,True
P00554,Automated Quality Inspection,Certification,False
P00555,Defense System Export to Poland,Defense,False
P00556,Hydro Power Expansion,Energy,True
P00557,Automated Quality Inspection,Certification,False
P00558,Industrial Robotics Export,Technology,False
P00559,Carbon Capture Installation,Energy,True
P00560,Electric Maritime Vessel,Maritime,True
P00561,Electric Maritime Vessel,Maritime,True
P00562,Smart Grid Installation,Energy,True
P00563,Automated Quality Inspection,Certification,False
P00564,Smart Grid Installation,Energy,True
P00565,Offshore Wind Turbine Delivery,Renewable Energy,True
P00566,Industrial Robotics Export,Technology,False
P00567,Defense System Export to Poland,Defense,False
P00568,Defense System Export to Poland,Defense,False
P00569,Carbon Capture Installation,Energy,True
P00570,Smart Grid Installation,Energy,True
P00571,Smart Grid Installation,Energy,True
P00572,Defense System Export to Poland,Defense,False
P00573,Smart Grid Installation,Energy,True
P00574,Offshore Wind Turbine Delivery,Renewable Energy,True
P00575,Industrial Robotics Export,Technology,False
P00576,Automated Quality Inspection,Certification,False
P00577,Automated Quality Inspection,Certification,False
P00578,Offshore Wind Turbine Delivery,Renewable Energy,True
P00579,Industrial Robotics Export,Technology,False
P00580,Automated Quality Inspection,Certification,False
P00581,Green Steel Plant,Metals,True
P00582,Carbon Capture Installation,Energy,True
P00583,Carbon Capture Installation,Energy,True
P00584,Hydro Power Expansion,Energy,True
P00585,Fertilizer Plant Upgrade,Chemicals,False
P00586,Electric Maritime Vessel,Maritime,True
P00587,Electric Maritime Vessel,Maritime,True
P00588,Green Steel Plant,Metals,True
P00589,Defense System Export to Poland,Defense,False
P00590,Carbon Capture Installation,Energy,True
P00591,Hydro Power Expansion,Energy,True
P00592,Automated Quality Inspection,Certification,False
P00593,Offshore Wind Turbine Delivery,Renewable Energy,True
P00594,Hydro Power Expansion,Energy,True
P00595,Automated Quality Inspection,Certification,False
P00596,Automated Quality Inspection,Certification,False
P00597,Carbon Capture Installation,Energy,True
P00598,Green Steel Plant,Metals,True
P00599,Smart Grid Installation,Energy,True
P00600,Fertilizer Plant Upgrade,Chemicals,False
P00601,Defense System Export to Poland,Defense,False
P00602,Hydro Power Expansion,Energy,True
P00603,Offshore Wind Turbine Delivery,Renewable Energy,True
P00604,Smart Grid Installation,Energy,True
P00605,Fertilizer Plant Upgrade,Chemicals,False
P00606,Industrial Robotics Export,Technology,False
P00607,Hydro Power Expansion,Energy,True
P00608,Green Steel Plant,Metals,True
P00609,Defense System Export to Poland,Defense,False
P00610,Electric Maritime Vessel,Maritime,True
P00611,Defense System Export to Poland,Defense,False
P00612,Carbon Capture Installation,Energy,True
P00613,Smart Grid Installation,Energy,True
P00614,Defense System Export to Poland,Defense,False
P00615,Defense System Export to Poland,Defense,False
P00616,Defense System Export to Poland,Defense,False
P00617,Electric Maritime Vessel,Maritime,True
P00618,Electric Maritime Vessel,Maritime,True
P00619,Offshore Wind Turbine Delivery,Renewable Energy,True
P00620,Offshore Wind Turbine Delivery,Renewable Energy,True
P00621,Fertilizer Plant Upgrade,Chemicals,False
P00622,Smart Grid Installation,Energy,True
P00623,Fertilizer Plant Upgrade,Chemicals,False
P00624,Automated Quality Inspection,Certification,False
P00625,Green Steel Plant,Metals,True
P00626,Offshore Wind Turbine Delivery,Renewable Energy,True
P00627,Automated Quality Inspection,Certification,False
P00628,Smart Grid Installation,Energy,True
